time, participant, keyorder, session, condition, correct, response, error, RT
2015-12-10_14-05, 069, 21, practice, control, red, red, 0, 1.84819838245
2015-12-10_14-05, 069, 21, practice, control, green, black, 1, 0.661731185935
2015-12-10_14-05, 069, 21, practice, control, blue, blue, 0, 0.844423688624
2015-12-10_14-05, 069, 21, practice, control, blue, blue, 0, 0.711746931363
2015-12-10_14-05, 069, 21, practice, control, black, black, 0, 1.52320661867
2015-12-10_14-05, 069, 21, practice, control, red, red, 0, 0.934404507134
2015-12-10_14-05, 069, 21, practice, control, black, black, 0, 0.978837991213
2015-12-10_14-05, 069, 21, practice, control, green, green, 0, 1.1165877227
2015-12-10_14-05, 069, 21, practice, control, black, black, 0, 0.820620350747
2015-12-10_14-05, 069, 21, practice, control, blue, blue, 0, 0.943999843885
2015-12-10_14-05, 069, 21, practice, control, green, green, 0, 1.12616507561
2015-12-10_14-05, 069, 21, practice, control, red, red, 0, 0.866022666531
2015-12-10_14-05, 069, 21, practice, control, blue, blue, 0, 1.04862180629
2015-12-10_14-05, 069, 21, practice, control, red, red, 0, 1.1360454754
2015-12-10_14-05, 069, 21, practice, control, blue, blue, 0, 1.13087148555
2015-12-10_14-05, 069, 21, practice, control, green, green, 0, 0.77885536284
2015-12-10_14-05, 069, 21, practice, control, black, black, 0, 0.595383050115
2015-12-10_14-05, 069, 21, practice, control, green, green, 0, 0.976601872539
2015-12-10_14-05, 069, 21, practice, control, black, black, 0, 0.6325403479
2015-12-10_14-05, 069, 21, practice, control, red, red, 0, 0.740042020971
2015-12-10_14-05, 069, 21, practice, control, red, red, 0, 0.741207144407
2015-12-10_14-05, 069, 21, practice, control, blue, blue, 0, 0.702339468375
2015-12-10_14-05, 069, 21, practice, control, green, green, 0, 0.900983639678
2015-12-10_14-05, 069, 21, practice, compatible, green, green, 0, 1.48909356458
2015-12-10_14-05, 069, 21, practice, compatible, blue, blue, 0, 0.606539537479
2015-12-10_14-05, 069, 21, practice, incompatible, blue, black, 1, 0.79576514938
2015-12-10_14-05, 069, 21, practice, incompatible, blue, blue, 0, 0.952834119711
