time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-18_10-06, 028, 04, practice, control, black, black, 0, 1.2386725872
2015-11-18_10-06, 028, 04, practice, control, blue, blue, 0, 1.0426829105
2015-11-18_10-06, 028, 04, practice, control, blue, blue, 0, 1.03014342808
2015-11-18_10-06, 028, 04, practice, control, green, green, 0, 0.815286750934
2015-11-18_10-06, 028, 04, practice, control, black, black, 0, 0.701419358295
2015-11-18_10-06, 028, 04, practice, control, red, red, 0, 0.581965980551
2015-11-18_10-06, 028, 04, practice, control, red, red, 0, 0.509242951515
2015-11-18_10-06, 028, 04, practice, control, black, black, 0, 0.662514515947
2015-11-18_10-06, 028, 04, practice, control, green, green, 0, 0.616780530361
2015-11-18_10-06, 028, 04, practice, control, green, green, 0, 0.668636562777
2015-11-18_10-06, 028, 04, practice, control, blue, X, 1, -1
2015-11-18_10-06, 028, 04, practice, control, red, red, 0, 0.636862374474
2015-11-18_10-06, 028, 04, practice, control, blue, blue, 0, 0.655953977513
2015-11-18_10-06, 028, 04, practice, control, green, green, 0, 0.543273496703
2015-11-18_10-06, 028, 04, practice, control, red, red, 0, 0.616969165928
2015-11-18_10-06, 028, 04, practice, control, green, green, 0, 0.628973734506
2015-11-18_10-06, 028, 04, practice, control, red, red, 0, 0.587923114745
2015-11-18_10-06, 028, 04, practice, control, red, red, 0, 0.537376435094
2015-11-18_10-06, 028, 04, practice, control, black, black, 0, 0.62849124069
2015-11-18_10-06, 028, 04, practice, control, blue, blue, 0, 0.623594368482
2015-11-18_10-06, 028, 04, practice, control, blue, blue, 0, 0.54300450927
2015-11-18_10-06, 028, 04, practice, control, black, black, 0, 0.693221937589
2015-11-18_10-06, 028, 04, practice, control, green, green, 0, 0.589804113633
2015-11-18_10-06, 028, 04, practice, compatible, green, green, 0, 1.0289106009
2015-11-18_10-06, 028, 04, practice, incompatible, green, green, 0, 0.749193515987
2015-11-18_10-06, 028, 04, practice, compatible, black, black, 0, 0.556228130423
2015-11-18_10-06, 028, 04, practice, compatible, green, green, 0, 0.748054815277
2015-11-18_10-06, 028, 04, practice, compatible, green, green, 0, 0.595275692987
2015-11-18_10-06, 028, 04, practice, incompatible, blue, blue, 0, 0.773237854911
2015-11-18_10-06, 028, 04, practice, compatible, black, black, 0, 0.594930179969
2015-11-18_10-06, 028, 04, practice, incompatible, green, green, 0, 0.660795368671
2015-11-18_10-06, 028, 04, practice, incompatible, green, green, 0, 0.548613069422
2015-11-18_10-06, 028, 04, practice, compatible, black, black, 0, 0.623546539991
2015-11-18_10-06, 028, 04, practice, compatible, blue, blue, 0, 0.54298231685
2015-11-18_10-06, 028, 04, practice, compatible, red, red, 0, 0.539903692551
2015-11-18_10-06, 028, 04, practice, incompatible, red, red, 0, 0.553335463296
2015-11-18_10-06, 028, 04, practice, incompatible, blue, blue, 0, 0.744460408532
2015-11-18_10-06, 028, 04, practice, incompatible, blue, blue, 0, 1.09659633328
2015-11-18_10-06, 028, 04, practice, incompatible, red, red, 0, 0.701008415901
2015-11-18_10-06, 028, 04, practice, incompatible, black, black, 0, 1.03822452989
2015-11-18_10-06, 028, 04, practice, compatible, blue, blue, 0, 0.552486794553
2015-11-18_10-06, 028, 04, practice, compatible, red, red, 0, 0.587904365976
2015-11-18_10-06, 028, 04, practice, incompatible, red, red, 0, 0.517601841206
2015-11-18_10-06, 028, 04, practice, compatible, red, red, 0, 0.430863916465
2015-11-18_10-06, 028, 04, practice, incompatible, black, black, 0, 0.560155423464
2015-11-18_10-06, 028, 04, practice, incompatible, black, black, 0, 0.497852883389
