time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-10_14-23, 018, 18, practice, control, black, black, 0, 1.69280682126
2015-11-10_14-23, 018, 18, practice, control, green, green, 0, 0.587427242492
2015-11-10_14-23, 018, 18, practice, control, black, black, 0, 0.760914200091
2015-11-10_14-23, 018, 18, practice, control, blue, blue, 0, 0.785273329468
2015-11-10_14-23, 018, 18, practice, control, blue, blue, 0, 0.625612402793
2015-11-10_14-23, 018, 18, practice, control, green, green, 0, 0.775983020318
2015-11-10_14-23, 018, 18, practice, control, green, green, 0, 0.741016944485
2015-11-10_14-23, 018, 18, practice, control, blue, blue, 0, 0.70572448341
2015-11-10_14-23, 018, 18, practice, control, red, red, 0, 0.776296013431
2015-11-10_14-23, 018, 18, practice, control, red, red, 0, 0.618028633129
2015-11-10_14-23, 018, 18, practice, control, black, black, 0, 0.627633465927
2015-11-10_14-23, 018, 18, practice, control, red, red, 0, 0.742550916864
2015-11-10_14-23, 018, 18, practice, control, black, black, 0, 0.782107430867
2015-11-10_14-23, 018, 18, practice, control, blue, blue, 0, 0.356601323296
2015-11-10_14-23, 018, 18, practice, control, red, red, 0, 0.578893014514
2015-11-10_14-23, 018, 18, practice, control, blue, blue, 0, 0.968334891921
2015-11-10_14-23, 018, 18, practice, control, green, green, 0, 1.00550760749
2015-11-10_14-23, 018, 18, practice, control, black, black, 0, 0.591775091867
2015-11-10_14-23, 018, 18, practice, control, green, green, 0, 0.616991699942
2015-11-10_14-23, 018, 18, practice, control, red, red, 0, 0.616023640549
2015-11-10_14-23, 018, 18, practice, control, red, red, 0, 0.590249154768
2015-11-10_14-23, 018, 18, practice, control, blue, blue, 0, 0.504705993091
2015-11-10_14-23, 018, 18, practice, control, green, green, 0, 0.586404084061
2015-11-10_14-23, 018, 18, practice, incompatible, red, red, 0, 1.53126181377
2015-11-10_14-23, 018, 18, practice, incompatible, blue, green, 1, 0.815241081229
2015-11-10_14-23, 018, 18, practice, compatible, green, green, 0, 0.916957339574
2015-11-10_14-23, 018, 18, practice, compatible, black, black, 0, 0.90129773528
2015-11-10_14-23, 018, 18, practice, compatible, red, red, 0, 1.08268375145
2015-11-10_14-23, 018, 18, practice, compatible, black, black, 0, 0.901569021487
2015-11-10_14-23, 018, 18, practice, incompatible, blue, blue, 0, 0.847158726541
2015-11-10_14-23, 018, 18, practice, compatible, red, red, 0, 0.890609670798
2015-11-10_14-23, 018, 18, practice, compatible, blue, blue, 0, 0.661995748189
2015-11-10_14-23, 018, 18, practice, compatible, green, green, 0, 0.740377948754
2015-11-10_14-23, 018, 18, practice, compatible, blue, blue, 0, 0.97316524047
2015-11-10_14-23, 018, 18, practice, compatible, black, black, 0, 0.706316032745
2015-11-10_14-23, 018, 18, practice, incompatible, black, black, 0, 1.05418339407
2015-11-10_14-23, 018, 18, practice, compatible, green, green, 0, 0.740477815754
2015-11-10_14-23, 018, 18, practice, incompatible, blue, blue, 0, 0.784775907643
2015-11-10_14-23, 018, 18, practice, compatible, blue, blue, 0, 0.738894101189
2015-11-10_14-23, 018, 18, practice, incompatible, black, black, 0, 0.70603785916
2015-11-10_14-23, 018, 18, practice, compatible, red, red, 0, 0.778200373756
2015-11-10_14-23, 018, 18, practice, incompatible, green, green, 0, 1.05635521428
2015-11-10_14-23, 018, 18, practice, incompatible, black, black, 0, 0.8975314868
2015-11-10_14-23, 018, 18, practice, incompatible, green, green, 0, 0.973477850952
2015-11-10_14-23, 018, 18, practice, incompatible, red, red, 0, 0.817136258378
2015-11-10_14-23, 018, 18, practice, incompatible, green, green, 0, 0.924150441788
2015-11-10_14-23, 018, 18, practice, incompatible, red, red, 0, 1.00743530838
2015-11-10_14-23, 018, 18, trial, incompatible, red, red, 0, 0.935821488314
2015-11-10_14-23, 018, 18, trial, incompatible, green, green, 0, 0.874194367963
2015-11-10_14-23, 018, 18, trial, compatible, green, green, 0, 0.791436385873
2015-11-10_14-23, 018, 18, trial, compatible, red, red, 0, 0.592106451331
2015-11-10_14-23, 018, 18, trial, compatible, green, green, 0, 0.667488815659
2015-11-10_14-23, 018, 18, trial, incompatible, green, green, 0, 0.741842282077
2015-11-10_14-23, 018, 18, trial, compatible, blue, blue, 0, 0.437505452508
2015-11-10_14-23, 018, 18, trial, compatible, black, black, 0, 0.522480405405
2015-11-10_14-23, 018, 18, trial, incompatible, blue, green, 1, 0.857003852343
2015-11-10_14-23, 018, 18, trial, incompatible, blue, blue, 0, 1.97322722688
2015-11-10_14-23, 018, 18, trial, incompatible, red, red, 0, 0.855603418589
2015-11-10_14-23, 018, 18, trial, compatible, blue, blue, 0, 1.01663684687
2015-11-10_14-23, 018, 18, trial, compatible, black, black, 0, 0.735122878494
2015-11-10_14-23, 018, 18, trial, compatible, red, red, 0, 0.700885716953
2015-11-10_14-23, 018, 18, trial, compatible, red, red, 0, 0.619581354487
2015-11-10_14-23, 018, 18, trial, incompatible, red, red, 0, 0.78559627102
2015-11-10_14-23, 018, 18, trial, incompatible, green, green, 0, 1.12290642807
2015-11-10_14-23, 018, 18, trial, compatible, blue, blue, 0, 0.519712061639
2015-11-10_14-23, 018, 18, trial, compatible, green, green, 0, 0.745870250961
2015-11-10_14-23, 018, 18, trial, incompatible, blue, blue, 0, 0.867714109485
2015-11-10_14-23, 018, 18, trial, incompatible, blue, blue, 0, 0.70503115391
2015-11-10_14-23, 018, 18, trial, incompatible, black, black, 0, 0.97765657691
2015-11-10_14-23, 018, 18, trial, compatible, black, black, 0, 0.705421438728
2015-11-10_14-23, 018, 18, trial, incompatible, green, green, 0, 0.930937188634
2015-11-10_14-23, 018, 18, trial, incompatible, black, black, 0, 0.746287320031
2015-11-10_14-23, 018, 18, trial, incompatible, black, black, 0, 0.978046096465
2015-11-10_14-23, 018, 18, trial, compatible, green, green, 0, 1.23504290837
2015-11-10_14-23, 018, 18, trial, compatible, blue, blue, 0, 0.705321189096
2015-11-10_14-23, 018, 18, trial, incompatible, black, black, 0, 0.737893900692
2015-11-10_14-23, 018, 18, trial, compatible, blue, blue, 0, 0.589687833366
2015-11-10_14-23, 018, 18, trial, incompatible, red, red, 0, 1.46068339637
2015-11-10_14-23, 018, 18, trial, incompatible, red, red, 0, 0.975011058072
2015-11-10_14-23, 018, 18, trial, compatible, green, green, 0, 0.778803019428
2015-11-10_14-23, 018, 18, trial, compatible, black, black, 0, 0.582699056737
2015-11-10_14-23, 018, 18, trial, compatible, red, red, 0, 0.5496239491
2015-11-10_14-23, 018, 18, trial, incompatible, black, black, 0, 0.664885386359
2015-11-10_14-23, 018, 18, trial, incompatible, green, red, 1, 1.20191423224
2015-11-10_14-23, 018, 18, trial, compatible, red, red, 0, 0.698350396175
2015-11-10_14-23, 018, 18, trial, incompatible, blue, blue, 0, 1.07601102899
2015-11-10_14-23, 018, 18, trial, compatible, black, black, 0, 0.543450178993
