time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-05_16-55, 009, 09, practice, control, black, black, 0, 1.06688996995
2015-11-05_16-55, 009, 09, practice, control, green, green, 0, 0.946041417479
2015-11-05_16-55, 009, 09, practice, control, blue, blue, 0, 0.597473259855
2015-11-05_16-55, 009, 09, practice, control, black, black, 0, 0.663674111893
2015-11-05_16-55, 009, 09, practice, control, red, red, 0, 1.45142005735
2015-11-05_16-55, 009, 09, practice, control, black, black, 0, 0.700659961447
2015-11-05_16-55, 009, 09, practice, control, green, green, 0, 0.440183723964
2015-11-05_16-55, 009, 09, practice, control, blue, blue, 0, 0.533536816343
2015-11-05_16-55, 009, 09, practice, control, red, red, 0, 0.736186840106
2015-11-05_16-55, 009, 09, practice, control, blue, blue, 0, 1.21928527645
2015-11-05_16-55, 009, 09, practice, control, red, red, 0, 0.923560332827
2015-11-05_16-55, 009, 09, practice, control, green, green, 0, 0.765538824387
2015-11-05_16-55, 009, 09, practice, control, black, black, 0, 0.6223167065
2015-11-05_16-55, 009, 09, practice, control, blue, blue, 0, 1.30509327389
2015-11-05_16-55, 009, 09, practice, control, blue, blue, 0, 0.804582844525
2015-11-05_16-55, 009, 09, practice, control, green, green, 0, 0.700905227732
2015-11-05_16-55, 009, 09, practice, control, red, red, 0, 0.771390778445
2015-11-05_16-55, 009, 09, practice, control, black, black, 0, 0.537370776045
2015-11-05_16-55, 009, 09, practice, control, red, red, 0, 0.759653581463
2015-11-05_16-55, 009, 09, practice, control, black, black, 0, 0.505790350511
2015-11-05_16-55, 009, 09, practice, control, red, red, 0, 0.574342085627
2015-11-05_16-55, 009, 09, practice, control, green, green, 0, 0.998565900107
2015-11-05_16-55, 009, 09, practice, control, blue, blue, 0, 0.376168841158
2015-11-05_16-55, 009, 09, practice, compatible, red, red, 0, 1.21327261749
2015-11-05_16-55, 009, 09, practice, incompatible, green, green, 0, 1.21391620234
2015-11-05_16-55, 009, 09, practice, incompatible, black, black, 0, 0.767582072374
2015-11-05_16-55, 009, 09, practice, compatible, red, red, 0, 0.778626325147
2015-11-05_16-55, 009, 09, practice, incompatible, red, red, 0, 0.764224870538
2015-11-05_16-55, 009, 09, practice, compatible, black, black, 0, 0.623870569805
2015-11-05_16-55, 009, 09, practice, compatible, red, red, 0, 0.585508780227
2015-11-05_16-55, 009, 09, practice, incompatible, red, red, 0, 1.18127665501
2015-11-05_16-55, 009, 09, practice, compatible, black, black, 0, 0.620874188728
2015-11-05_16-55, 009, 09, practice, compatible, green, green, 0, 0.844831768754
2015-11-05_16-55, 009, 09, practice, compatible, blue, blue, 0, 0.511400481962
2015-11-05_16-55, 009, 09, practice, incompatible, green, green, 0, 1.03155631979
2015-11-05_16-55, 009, 09, practice, incompatible, blue, green, 1, 0.801441446405
2015-11-05_16-55, 009, 09, practice, compatible, blue, blue, 0, 1.39250219821
2015-11-05_16-55, 009, 09, practice, compatible, green, green, 0, 0.69006032556
2015-11-05_16-55, 009, 09, practice, incompatible, black, black, 0, 0.66367105085
2015-11-05_16-55, 009, 09, practice, incompatible, black, black, 0, 0.764951868881
2015-11-05_16-55, 009, 09, practice, compatible, green, green, 0, 1.0407107595
2015-11-05_16-55, 009, 09, practice, incompatible, green, green, 0, 0.896891355071
2015-11-05_16-55, 009, 09, practice, incompatible, red, red, 0, 0.748996168335
2015-11-05_16-55, 009, 09, practice, incompatible, blue, blue, 0, 1.34244070946
2015-11-05_16-55, 009, 09, practice, compatible, blue, blue, 0, 0.996792406768
2015-11-05_16-55, 009, 09, practice, compatible, black, black, 0, 0.686396636524
2015-11-05_16-55, 009, 09, practice, incompatible, blue, blue, 0, 1.68420492783
2015-11-05_16-55, 009, 09, trial, compatible, black, black, 0, 0.814354084927
2015-11-05_16-55, 009, 09, trial, compatible, green, green, 0, 0.928901474887
2015-11-05_16-55, 009, 09, trial, incompatible, black, black, 0, 0.666136340507
2015-11-05_16-55, 009, 09, trial, compatible, red, red, 0, 0.668658259503
2015-11-05_16-55, 009, 09, trial, compatible, red, red, 0, 0.780808850708
2015-11-05_16-55, 009, 09, trial, incompatible, green, green, 0, 0.850485902738
2015-11-05_16-55, 009, 09, trial, compatible, green, green, 0, 0.765830006359
2015-11-05_16-55, 009, 09, trial, incompatible, red, red, 0, 0.673415124475
2015-11-05_16-55, 009, 09, trial, compatible, black, black, 0, 0.549953969527
2015-11-05_16-55, 009, 09, trial, incompatible, red, red, 0, 0.623671601839
2015-11-05_16-55, 009, 09, trial, compatible, black, black, 0, 0.620822533583
2015-11-05_16-55, 009, 09, trial, compatible, blue, blue, 0, 1.03566424309
2015-11-05_16-55, 009, 09, trial, compatible, blue, blue, 0, 0.591451417764
2015-11-05_16-55, 009, 09, trial, compatible, red, red, 0, 0.767753108303
2015-11-05_16-55, 009, 09, trial, incompatible, red, red, 0, 0.628697838827
2015-11-05_16-55, 009, 09, trial, incompatible, blue, blue, 0, 1.18968496483
2015-11-05_16-55, 009, 09, trial, compatible, green, green, 0, 0.653710408245
2015-11-05_16-55, 009, 09, trial, compatible, blue, blue, 0, 0.614795334659
2015-11-05_16-55, 009, 09, trial, compatible, green, green, 0, 0.655137238155
2015-11-05_16-55, 009, 09, trial, compatible, black, black, 0, 0.517425767732
2015-11-05_16-55, 009, 09, trial, compatible, blue, blue, 0, 0.890093537902
2015-11-05_16-55, 009, 09, trial, incompatible, blue, blue, 0, 0.920321746511
2015-11-05_16-55, 009, 09, trial, incompatible, black, black, 0, 0.689509337339
2015-11-05_16-55, 009, 09, trial, incompatible, green, green, 0, 0.812185716703
