time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-10_10-03, 014, 14, practice, control, red, red, 0, 1.42569818893
2015-11-10_10-03, 014, 14, practice, control, red, red, 0, 0.623323497136
2015-11-10_10-03, 014, 14, practice, control, green, green, 0, 1.10795584119
2015-11-10_10-03, 014, 14, practice, control, blue, blue, 0, 1.13610685539
2015-11-10_10-03, 014, 14, practice, control, black, black, 0, 0.747694258528
2015-11-10_10-03, 014, 14, practice, control, black, black, 0, 0.734025872057
2015-11-10_10-03, 014, 14, practice, control, green, green, 0, 0.73408632794
2015-11-10_10-03, 014, 14, practice, control, red, red, 0, 0.634808584429
2015-11-10_10-03, 014, 14, practice, control, black, black, 0, 0.84283000877
2015-11-10_10-03, 014, 14, practice, control, green, green, 0, 0.697323028794
2015-11-10_10-03, 014, 14, practice, control, blue, blue, 0, 0.574569653596
2015-11-10_10-03, 014, 14, practice, control, blue, blue, 0, 0.732040011081
2015-11-10_10-03, 014, 14, practice, control, black, black, 0, 0.694796891191
2015-11-10_10-03, 014, 14, practice, control, green, green, 0, 0.667059119732
2015-11-10_10-03, 014, 14, practice, control, blue, blue, 0, 0.705930722149
2015-11-10_10-03, 014, 14, practice, control, blue, blue, 0, 0.66332156867
2015-11-10_10-03, 014, 14, practice, control, red, red, 0, 0.549691674995
2015-11-10_10-03, 014, 14, practice, control, green, green, 0, 0.624477515767
2015-11-10_10-03, 014, 14, practice, control, red, red, 0, 0.923491549186
2015-11-10_10-03, 014, 14, practice, control, blue, blue, 0, 0.890722547289
2015-11-10_10-03, 014, 14, practice, control, black, black, 0, 0.706610276889
2015-11-10_10-03, 014, 14, practice, control, red, red, 0, 0.739834228438
2015-11-10_10-03, 014, 14, practice, control, green, green, 0, 0.675375630004
2015-11-10_10-03, 014, 14, practice, compatible, red, red, 0, 1.10215092849
2015-11-10_10-03, 014, 14, practice, compatible, green, green, 0, 0.630481397189
2015-11-10_10-03, 014, 14, practice, compatible, blue, blue, 0, 0.779513184739
2015-11-10_10-03, 014, 14, practice, incompatible, blue, green, 1, 0.861288184778
2015-11-10_10-03, 014, 14, practice, incompatible, black, red, 1, 1.25816307477
2015-11-10_10-03, 014, 14, practice, compatible, black, black, 0, 1.9870555536
2015-11-10_10-03, 014, 14, practice, incompatible, red, blue, 1, 1.16008985734
2015-11-10_10-03, 014, 14, practice, incompatible, blue, green, 1, 1.41194217969
2015-11-10_10-03, 014, 14, practice, incompatible, blue, green, 1, 1.11024512947
2015-11-10_10-03, 014, 14, practice, compatible, red, red, 0, 0.950914031734
2015-11-10_10-03, 014, 14, practice, incompatible, black, green, 1, 0.92602304364
2015-11-10_10-03, 014, 14, practice, compatible, green, green, 0, 0.802299695884
2015-11-10_10-03, 014, 14, practice, compatible, green, green, 0, 1.65543972855
2015-11-10_10-03, 014, 14, practice, compatible, blue, blue, 0, 1.23382116384
2015-11-10_10-03, 014, 14, practice, compatible, red, red, 0, 1.15367235054
2015-11-10_10-03, 014, 14, practice, incompatible, green, blue, 1, 1.20750869723
2015-11-10_10-03, 014, 14, practice, incompatible, black, green, 1, 1.33777428987
2015-11-10_10-03, 014, 14, practice, incompatible, green, green, 0, 2.25910014096
2015-11-10_10-03, 014, 14, practice, compatible, black, black, 0, 1.1227748026
2015-11-10_10-03, 014, 14, practice, incompatible, green, blue, 1, 1.15618509602
