time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-12_11-04, 023, 23, practice, control, red, red, 0, 1.61375031758
2015-11-12_11-04, 023, 23, practice, control, blue, blue, 0, 0.739185749662
2015-11-12_11-04, 023, 23, practice, control, blue, blue, 0, 0.659588153187
2015-11-12_11-04, 023, 23, practice, control, black, black, 0, 0.404998515398
2015-11-12_11-04, 023, 23, practice, control, red, red, 0, 0.69705482618
2015-11-12_11-04, 023, 23, practice, control, black, black, 0, 0.672935409122
2015-11-12_11-04, 023, 23, practice, control, green, green, 0, 0.546469939116
2015-11-12_11-04, 023, 23, practice, control, blue, blue, 0, 0.776453838076
2015-11-12_11-04, 023, 23, practice, control, green, green, 0, 0.680231383558
2015-11-12_11-04, 023, 23, practice, control, red, X, 1, -1
2015-11-12_11-04, 023, 23, practice, control, green, green, 0, 0.620095458344
2015-11-12_11-04, 023, 23, practice, control, black, black, 0, 0.518317227194
2015-11-12_11-04, 023, 23, practice, control, green, green, 0, 0.512378056059
2015-11-12_11-04, 023, 23, practice, control, red, blue, 1, 0.860618879846
2015-11-12_11-04, 023, 23, practice, control, blue, red, 1, 0.650243199148
2015-11-12_11-04, 023, 23, practice, control, black, black, 0, 0.615806184513
2015-11-12_11-04, 023, 23, practice, control, red, red, 0, 0.712884198025
2015-11-12_11-04, 023, 23, practice, control, green, green, 0, 0.461505202227
2015-11-12_11-04, 023, 23, practice, control, blue, blue, 0, 0.733719508276
2015-11-12_11-04, 023, 23, practice, control, green, green, 0, 0.927594685434
2015-11-12_11-04, 023, 23, practice, control, blue, blue, 0, 0.489165852941
2015-11-12_11-04, 023, 23, practice, control, red, red, 0, 0.589744541412
2015-11-12_11-04, 023, 23, practice, control, black, black, 0, 0.506262875475
2015-11-12_11-04, 023, 23, practice, compatible, green, green, 0, 1.15905094173
2015-11-12_11-04, 023, 23, practice, incompatible, black, red, 1, 1.31392854628
2015-11-12_11-04, 023, 23, practice, compatible, red, red, 0, 0.689683091154
2015-11-12_11-04, 023, 23, practice, incompatible, blue, blue, 0, 0.662618194174
2015-11-12_11-04, 023, 23, practice, compatible, green, green, 0, 0.63151770655
2015-11-12_11-04, 023, 23, practice, compatible, black, black, 0, 0.612251176202
2015-11-12_11-04, 023, 23, practice, compatible, blue, blue, 0, 0.97153238421
2015-11-12_11-04, 023, 23, practice, incompatible, green, green, 0, 0.89494875829
2015-11-12_11-04, 023, 23, practice, incompatible, red, blue, 1, 1.0858780729
2015-11-12_11-04, 023, 23, practice, compatible, green, blue, 1, 0.815616323882
2015-11-12_11-04, 023, 23, practice, compatible, red, red, 0, 2.14254584664
2015-11-12_11-04, 023, 23, practice, incompatible, green, green, 0, 0.666516803545
2015-11-12_11-04, 023, 23, practice, compatible, black, black, 0, 0.522190583035
2015-11-12_11-04, 023, 23, practice, incompatible, red, blue, 1, 1.28446035502
2015-11-12_11-04, 023, 23, practice, incompatible, blue, blue, 0, 0.996113252135
2015-11-12_11-04, 023, 23, practice, compatible, blue, blue, 0, 0.825423111419
2015-11-12_11-04, 023, 23, practice, incompatible, red, red, 0, 0.813697820849
2015-11-12_11-04, 023, 23, practice, incompatible, blue, blue, 0, 0.811585324791
2015-11-12_11-04, 023, 23, practice, compatible, red, red, 0, 0.932681358609
2015-11-12_11-04, 023, 23, practice, compatible, black, black, 0, 0.593674909011
2015-11-12_11-04, 023, 23, practice, compatible, blue, blue, 0, 1.25247982013
2015-11-12_11-04, 023, 23, practice, incompatible, black, black, 0, 0.626664819842
2015-11-12_11-04, 023, 23, practice, incompatible, black, red, 1, 1.21167776802
2015-11-12_11-04, 023, 23, practice, incompatible, green, blue, 1, 2.07124059115
2015-11-12_11-04, 023, 23, trial, incompatible, black, black, 0, 0.60059935045
2015-11-12_11-04, 023, 23, trial, incompatible, red, red, 0, 0.85585131946
2015-11-12_11-04, 023, 23, trial, incompatible, green, green, 0, 1.09804109132
2015-11-12_11-04, 023, 23, trial, incompatible, blue, blue, 0, 0.743967467331
2015-11-12_11-04, 023, 23, trial, incompatible, black, black, 0, 0.478800809336
2015-11-12_11-04, 023, 23, trial, compatible, red, blue, 1, 1.05509478492
2015-11-12_11-04, 023, 23, trial, compatible, blue, red, 1, 1.70188360725
2015-11-12_11-04, 023, 23, trial, incompatible, blue, blue, 0, 0.904956808812
2015-11-12_11-04, 023, 23, trial, incompatible, green, green, 0, 0.790943242308
2015-11-12_11-04, 023, 23, trial, compatible, green, green, 0, 0.632998864357
2015-11-12_11-04, 023, 23, trial, compatible, blue, blue, 0, 0.670292588931
2015-11-12_11-04, 023, 23, trial, compatible, red, red, 0, 0.814169602709
2015-11-12_11-04, 023, 23, trial, compatible, blue, blue, 0, 0.777910124982
2015-11-12_11-04, 023, 23, trial, compatible, black, black, 0, 0.637538760342
2015-11-12_11-04, 023, 23, trial, compatible, red, red, 0, 0.748466421988
2015-11-12_11-04, 023, 23, trial, incompatible, green, green, 0, 0.525296384612
2015-11-12_11-04, 023, 23, trial, compatible, red, red, 0, 0.975885557124
2015-11-12_11-04, 023, 23, trial, incompatible, black, black, 0, 0.554928723825
2015-11-12_11-04, 023, 23, trial, compatible, green, green, 0, 0.896441012346
2015-11-12_11-04, 023, 23, trial, incompatible, black, black, 0, 0.632221361731
2015-11-12_11-04, 023, 23, trial, incompatible, green, green, 0, 0.973844612732
2015-11-12_11-04, 023, 23, trial, compatible, blue, blue, 0, 0.782582793316
2015-11-12_11-04, 023, 23, trial, compatible, green, green, 0, 0.70013346108
2015-11-12_11-04, 023, 23, trial, incompatible, green, green, 0, 0.675833443021
2015-11-12_11-04, 023, 23, trial, compatible, black, black, 0, 0.702704729603
2015-11-12_11-04, 023, 23, trial, incompatible, red, red, 0, 0.73796669289
2015-11-12_11-04, 023, 23, trial, incompatible, red, red, 0, 0.893455738978
2015-11-12_11-04, 023, 23, trial, incompatible, black, black, 0, 0.589922081381
2015-11-12_11-04, 023, 23, trial, compatible, black, black, 0, 0.654519463586
2015-11-12_11-04, 023, 23, trial, compatible, blue, blue, 0, 0.815477046837
2015-11-12_11-04, 023, 23, trial, compatible, green, green, 0, 0.93174889114
2015-11-12_11-04, 023, 23, trial, compatible, black, black, 0, 0.520001178498
2015-11-12_11-04, 023, 23, trial, incompatible, blue, blue, 0, 0.516634806405
2015-11-12_11-04, 023, 23, trial, compatible, black, black, 0, 0.548668909385
2015-11-12_11-04, 023, 23, trial, incompatible, blue, blue, 0, 0.814647124005
2015-11-12_11-04, 023, 23, trial, incompatible, red, red, 0, 0.778396064123
2015-11-12_11-04, 023, 23, trial, compatible, red, red, 0, 0.774086128313
2015-11-12_11-04, 023, 23, trial, compatible, green, green, 0, 0.607047418476
2015-11-12_11-04, 023, 23, trial, incompatible, red, red, 0, 0.936049643849
2015-11-12_11-04, 023, 23, trial, incompatible, blue, blue, 0, 0.736858981227
