time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-12_12-51, 025, 01, practice, control, red, red, 0, 0.754572036842
2015-11-12_12-51, 025, 01, practice, control, red, red, 0, 0.524746546387
2015-11-12_12-51, 025, 01, practice, control, black, black, 0, 0.624834321537
2015-11-12_12-51, 025, 01, practice, control, blue, blue, 0, 0.566054051738
2015-11-12_12-51, 025, 01, practice, control, red, red, 0, 0.525357987921
2015-11-12_12-51, 025, 01, practice, control, green, green, 0, 0.417389963482
2015-11-12_12-51, 025, 01, practice, control, blue, blue, 0, 0.915376568397
2015-11-12_12-51, 025, 01, practice, control, black, black, 0, 0.364805609039
2015-11-12_12-51, 025, 01, practice, control, black, black, 0, 0.680065322465
2015-11-12_12-51, 025, 01, practice, control, green, green, 0, 0.493232819183
2015-11-12_12-51, 025, 01, practice, control, green, green, 0, 0.489787242836
2015-11-12_12-51, 025, 01, practice, control, blue, blue, 0, 0.644139880069
2015-11-12_12-51, 025, 01, practice, control, green, green, 0, 0.565223746276
2015-11-12_12-51, 025, 01, practice, control, green, green, 0, 0.679999510234
2015-11-12_12-51, 025, 01, practice, control, red, red, 0, 0.45157214704
2015-11-12_12-51, 025, 01, practice, control, blue, blue, 0, 0.637333671068
2015-11-12_12-51, 025, 01, practice, control, black, black, 0, 0.441111446124
2015-11-12_12-51, 025, 01, practice, control, red, red, 0, 0.719443228534
2015-11-12_12-51, 025, 01, practice, control, red, red, 0, 0.519422260451
2015-11-12_12-51, 025, 01, practice, control, black, black, 0, 0.566743932266
2015-11-12_12-51, 025, 01, practice, control, blue, blue, 0, 0.679098418364
2015-11-12_12-51, 025, 01, practice, control, green, green, 0, 0.454310624544
2015-11-12_12-51, 025, 01, practice, control, black, black, 0, 0.555524094929
2015-11-12_12-51, 025, 01, practice, incompatible, blue, blue, 0, 0.990819193907
2015-11-12_12-51, 025, 01, practice, compatible, blue, blue, 0, 0.877336334168
2015-11-12_12-51, 025, 01, practice, incompatible, black, black, 0, 0.676868072498
2015-11-12_12-51, 025, 01, practice, incompatible, red, red, 0, 0.95258534928
2015-11-12_12-51, 025, 01, practice, incompatible, black, black, 0, 0.60463455846
2015-11-12_12-51, 025, 01, practice, compatible, blue, blue, 0, 0.751674002946
2015-11-12_12-51, 025, 01, practice, incompatible, green, green, 0, 0.643280877415
2015-11-12_12-51, 025, 01, practice, incompatible, green, green, 0, 0.522733916563
2015-11-12_12-51, 025, 01, practice, compatible, green, green, 0, 0.491963255348
2015-11-12_12-51, 025, 01, practice, incompatible, blue, blue, 0, 0.721749334991
