time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-19_15-11, 035, 11, practice, control, red, red, 0, 1.26037401594
2015-11-19_15-11, 035, 11, practice, control, red, red, 0, 0.511967170773
2015-11-19_15-11, 035, 11, practice, control, blue, blue, 0, 0.741334787308
2015-11-19_15-11, 035, 11, practice, control, blue, blue, 0, 0.621520360433
2015-11-19_15-11, 035, 11, practice, control, black, black, 0, 0.846622856105
2015-11-19_15-11, 035, 11, practice, control, black, black, 0, 0.399070221254
2015-11-19_15-11, 035, 11, practice, control, blue, blue, 0, 0.652142221712
2015-11-19_15-11, 035, 11, practice, control, black, black, 0, 0.505850910169
2015-11-19_15-11, 035, 11, practice, control, green, green, 0, 0.779272055941
2015-11-19_15-11, 035, 11, practice, control, green, green, 0, 0.546140939918
2015-11-19_15-11, 035, 11, practice, control, red, red, 0, 0.505136166674
2015-11-19_15-11, 035, 11, practice, control, green, green, 0, 0.766433074106
2015-11-19_15-11, 035, 11, practice, control, red, red, 0, 0.546646770166
2015-11-19_15-11, 035, 11, practice, control, green, green, 0, 0.585049310797
2015-11-19_15-11, 035, 11, practice, control, blue, blue, 0, 0.537372705443
2015-11-19_15-11, 035, 11, practice, control, green, green, 0, 0.593529046018
2015-11-19_15-11, 035, 11, practice, control, black, black, 0, 0.466941391416
2015-11-19_15-11, 035, 11, practice, control, blue, blue, 0, 0.583154551805
2015-11-19_15-11, 035, 11, practice, control, red, red, 0, 0.508259534538
2015-11-19_15-11, 035, 11, practice, control, blue, blue, 0, 0.468013124035
2015-11-19_15-11, 035, 11, practice, control, green, green, 0, 0.772788092709
2015-11-19_15-11, 035, 11, practice, control, red, red, 0, 0.540320448439
2015-11-19_15-11, 035, 11, practice, control, black, black, 0, 0.615091495201
2015-11-19_15-11, 035, 11, practice, compatible, black, black, 0, 1.07378617002
2015-11-19_15-11, 035, 11, practice, compatible, green, green, 0, 0.657531877445
2015-11-19_15-11, 035, 11, practice, incompatible, red, red, 0, 0.778910092689
2015-11-19_15-11, 035, 11, practice, compatible, blue, blue, 0, 0.431583397902
2015-11-19_15-11, 035, 11, practice, incompatible, green, blue, 1, 0.668733989536
2015-11-19_15-11, 035, 11, practice, incompatible, blue, blue, 0, 2.50634449642
2015-11-19_15-11, 035, 11, practice, compatible, red, red, 0, 0.698102753944
2015-11-19_15-11, 035, 11, practice, incompatible, green, green, 0, 1.45569412958
2015-11-19_15-11, 035, 11, practice, compatible, green, green, 0, 0.936151749072
2015-11-19_15-11, 035, 11, practice, compatible, green, green, 0, 0.739991773564
2015-11-19_15-11, 035, 11, practice, compatible, blue, blue, 0, 1.16319491874
2015-11-19_15-11, 035, 11, practice, incompatible, black, black, 0, 0.629648080656
2015-11-19_15-11, 035, 11, practice, compatible, black, black, 0, 0.649982303596
2015-11-19_15-11, 035, 11, practice, incompatible, blue, blue, 0, 1.41447087745
2015-11-19_15-11, 035, 11, practice, compatible, red, red, 0, 0.851213590842
2015-11-19_15-11, 035, 11, practice, compatible, black, black, 0, 0.592060531275
2015-11-19_15-11, 035, 11, practice, compatible, red, red, 0, 0.583841746302
2015-11-19_15-11, 035, 11, practice, incompatible, black, black, 0, 0.931901167962
2015-11-19_15-11, 035, 11, practice, incompatible, red, red, 0, 0.848597201097
2015-11-19_15-11, 035, 11, practice, incompatible, blue, blue, 0, 1.57925139419
2015-11-19_15-11, 035, 11, practice, incompatible, black, red, 1, 0.602796223491
2015-11-19_15-11, 035, 11, practice, incompatible, green, green, 0, 0.985193943048
2015-11-19_15-11, 035, 11, practice, compatible, blue, blue, 0, 0.70645277929
2015-11-19_15-11, 035, 11, practice, incompatible, red, red, 0, 0.660616217563
2015-11-19_15-11, 035, 11, trial, incompatible, green, green, 0, 1.44140729474
2015-11-19_15-11, 035, 11, trial, incompatible, black, black, 0, 0.676756487883
2015-11-19_15-11, 035, 11, trial, incompatible, red, red, 0, 0.59045350628
2015-11-19_15-11, 035, 11, trial, incompatible, green, green, 0, 0.74882467166
2015-11-19_15-11, 035, 11, trial, incompatible, red, red, 0, 0.775626404953
2015-11-19_15-11, 035, 11, trial, incompatible, blue, blue, 0, 0.563424493739
2015-11-19_15-11, 035, 11, trial, compatible, black, black, 0, 0.511490037399
2015-11-19_15-11, 035, 11, trial, incompatible, red, red, 0, 0.65703637807
2015-11-19_15-11, 035, 11, trial, compatible, green, green, 0, 0.625847849169
2015-11-19_15-11, 035, 11, trial, compatible, green, green, 0, 0.583617528053
2015-11-19_15-11, 035, 11, trial, compatible, green, green, 0, 0.591074889278
2015-11-19_15-11, 035, 11, trial, compatible, blue, blue, 0, 0.581517682058
2015-11-19_15-11, 035, 11, trial, incompatible, black, black, 0, 0.863772873799
2015-11-19_15-11, 035, 11, trial, incompatible, green, red, 1, 1.19692254714
2015-11-19_15-11, 035, 11, trial, compatible, blue, blue, 0, 0.924640093359
2015-11-19_15-11, 035, 11, trial, incompatible, blue, blue, 0, 0.778979730439
2015-11-19_15-11, 035, 11, trial, incompatible, red, red, 0, 0.85114548359
2015-11-19_15-11, 035, 11, trial, compatible, black, black, 0, 0.935153480452
2015-11-19_15-11, 035, 11, trial, compatible, blue, blue, 0, 0.902252322056
2015-11-19_15-11, 035, 11, trial, incompatible, green, green, 0, 1.12919945284
2015-11-19_15-11, 035, 11, trial, compatible, red, red, 0, 0.477204924384
2015-11-19_15-11, 035, 11, trial, incompatible, blue, blue, 0, 1.00976191159
2015-11-19_15-11, 035, 11, trial, compatible, blue, blue, 0, 0.469097483285
2015-11-19_15-11, 035, 11, trial, compatible, red, red, 0, 0.974525210208
2015-11-19_15-11, 035, 11, trial, compatible, black, black, 0, 0.897293502072
2015-11-19_15-11, 035, 11, trial, compatible, red, red, 0, 0.515428013892
2015-11-19_15-11, 035, 11, trial, compatible, green, green, 0, 0.547684449164
2015-11-19_15-11, 035, 11, trial, incompatible, blue, blue, 0, 0.773031442212
2015-11-19_15-11, 035, 11, trial, incompatible, red, red, 0, 0.448565443221
2015-11-19_15-11, 035, 11, trial, incompatible, black, black, 0, 0.996526147635
2015-11-19_15-11, 035, 11, trial, compatible, green, green, 0, 0.966154523107
2015-11-19_15-11, 035, 11, trial, incompatible, black, black, 0, 0.582382031931
2015-11-19_15-11, 035, 11, trial, compatible, black, black, 0, 0.473490783519
