time, participant, keyorder, session, condition, correct, response, error, RT
2015-12-10_14-44, 070, 22, practice, control, blue, blue, 0, 1.04521520729
2015-12-10_14-44, 070, 22, practice, control, blue, blue, 0, 0.749511088186
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 1.04992697412
2015-12-10_14-44, 070, 22, practice, control, green, green, 0, 0.745687417086
2015-12-10_14-44, 070, 22, practice, control, green, green, 0, 0.553674309547
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 0.871937820288
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 0.518025741385
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.48513252753
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.557011651617
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.592364442957
2015-12-10_14-44, 070, 22, practice, control, blue, blue, 0, 0.783852192708
2015-12-10_14-44, 070, 22, practice, control, green, green, 0, 0.564401480493
2015-12-10_14-44, 070, 22, practice, control, blue, blue, 0, 0.559476203358
2015-12-10_14-44, 070, 22, practice, control, green, green, 0, 0.59432315129
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.515504942305
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 0.563663760302
2015-12-10_14-44, 070, 22, practice, control, green, blue, 1, 0.558880440734
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 0.772374674616
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.551774909633
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 0.677165532088
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.511038444482
2015-12-10_14-44, 070, 22, practice, control, blue, blue, 0, 0.551258352443
2015-12-10_14-44, 070, 22, practice, control, green, green, 0, 0.35710440233
2015-12-10_14-44, 070, 22, practice, control, blue, red, 1, 0.554883436002
2015-12-10_14-44, 070, 22, practice, control, green, blue, 1, 0.538839552362
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.460591469462
2015-12-10_14-44, 070, 22, practice, control, green, blue, 1, 0.590891681019
2015-12-10_14-44, 070, 22, practice, control, blue, green, 1, 0.398675394317
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 0.944741773059
2015-12-10_14-44, 070, 22, practice, control, blue, blue, 0, 0.549469534031
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 0.716020581171
2015-12-10_14-44, 070, 22, practice, control, red, red, 0, 0.633908650496
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.551252230285
2015-12-10_14-44, 070, 22, practice, control, blue, blue, 0, 0.560503960845
2015-12-10_14-44, 070, 22, practice, control, black, black, 0, 0.481972728077
2015-12-10_14-44, 070, 22, practice, control, green, green, 0, 0.476747847773
2015-12-10_14-44, 070, 22, practice, compatible, black, black, 0, 0.695476527831
2015-12-10_14-44, 070, 22, practice, incompatible, black, black, 0, 0.670098647119
2015-12-10_14-44, 070, 22, practice, compatible, blue, blue, 0, 0.860586954364
2015-12-10_14-44, 070, 22, practice, compatible, black, black, 0, 0.59817705055
2015-12-10_14-44, 070, 22, practice, incompatible, red, red, 0, 0.527438178629
2015-12-10_14-44, 070, 22, practice, incompatible, blue, blue, 0, 0.590459303519
2015-12-10_14-44, 070, 22, practice, compatible, red, red, 0, 0.644207270296
2015-12-10_14-44, 070, 22, practice, compatible, red, red, 0, 0.45335201612
2015-12-10_14-44, 070, 22, practice, incompatible, green, green, 0, 0.596510292689
2015-12-10_14-44, 070, 22, practice, incompatible, black, black, 0, 0.414273125596
2015-12-10_14-44, 070, 22, practice, incompatible, blue, blue, 0, 0.484558575099
2015-12-10_14-44, 070, 22, practice, incompatible, red, red, 0, 0.561630055519
2015-12-10_14-44, 070, 22, practice, compatible, blue, blue, 0, 0.492133216656
2015-12-10_14-44, 070, 22, practice, compatible, black, black, 0, 0.526741783007
2015-12-10_14-44, 070, 22, practice, incompatible, black, black, 0, 0.531150885592
2015-12-10_14-44, 070, 22, practice, compatible, green, green, 0, 0.59492924506
2015-12-10_14-44, 070, 22, practice, compatible, blue, blue, 0, 0.561370246382
2015-12-10_14-44, 070, 22, practice, incompatible, green, green, 0, 0.786483573291
2015-12-10_14-44, 070, 22, practice, compatible, red, red, 0, 0.488240288629
2015-12-10_14-44, 070, 22, practice, compatible, green, green, 0, 0.559811008941
2015-12-10_14-44, 070, 22, practice, compatible, green, green, 0, 0.518258766071
2015-12-10_14-44, 070, 22, practice, incompatible, red, blue, 1, 0.560285858923
2015-12-10_14-44, 070, 22, practice, incompatible, blue, blue, 0, 0.810247117133
2015-12-10_14-44, 070, 22, practice, incompatible, green, green, 0, 0.790222299427
2015-12-10_14-44, 070, 22, trial, compatible, blue, blue, 0, 0.609497688311
2015-12-10_14-44, 070, 22, trial, compatible, black, black, 0, 0.481458849332
2015-12-10_14-44, 070, 22, trial, incompatible, blue, green, 1, 0.784364540912
2015-12-10_14-44, 070, 22, trial, incompatible, black, black, 0, 0.561108141439
2015-12-10_14-44, 070, 22, trial, compatible, red, red, 0, 0.556659244823
2015-12-10_14-44, 070, 22, trial, compatible, green, green, 0, 0.531137110731
2015-12-10_14-44, 070, 22, trial, incompatible, green, green, 0, 0.482438012179
2015-12-10_14-44, 070, 22, trial, incompatible, blue, blue, 0, 0.488725087114
2015-12-10_14-44, 070, 22, trial, compatible, green, green, 0, 0.562638298623
2015-12-10_14-44, 070, 22, trial, incompatible, black, black, 0, 0.443204919768
2015-12-10_14-44, 070, 22, trial, incompatible, green, green, 0, 0.602291141578
2015-12-10_14-44, 070, 22, trial, compatible, blue, blue, 0, 0.423806092851
2015-12-10_14-44, 070, 22, trial, incompatible, red, red, 0, 0.404315433541
2015-12-10_14-44, 070, 22, trial, compatible, blue, blue, 0, 0.595451159137
2015-12-10_14-44, 070, 22, trial, incompatible, green, green, 0, 0.408408097013
2015-12-10_14-44, 070, 22, trial, compatible, black, black, 0, 0.519680254925
2015-12-10_14-44, 070, 22, trial, compatible, green, green, 0, 0.485973941795
2015-12-10_14-44, 070, 22, trial, compatible, red, red, 0, 0.483027270013
2015-12-10_14-44, 070, 22, trial, compatible, black, black, 0, 0.519302211593
2015-12-10_14-44, 070, 22, trial, compatible, black, black, 0, 0.487519404374
2015-12-10_14-44, 070, 22, trial, compatible, red, red, 0, 0.523948930477
2015-12-10_14-44, 070, 22, trial, compatible, red, red, 0, 0.604166818128
2015-12-10_14-44, 070, 22, trial, incompatible, green, green, 0, 0.631170132128
2015-12-10_14-44, 070, 22, trial, incompatible, red, red, 0, 0.562980756906
2015-12-10_14-44, 070, 22, trial, incompatible, red, red, 0, 0.560469523702
2015-12-10_14-44, 070, 22, trial, incompatible, black, black, 0, 0.632253371681
2015-12-10_14-44, 070, 22, trial, compatible, red, red, 0, 0.527671968586
2015-12-10_14-44, 070, 22, trial, compatible, green, green, 0, 0.59201471461
2015-12-10_14-44, 070, 22, trial, incompatible, green, green, 0, 0.865486212322
2015-12-10_14-44, 070, 22, trial, incompatible, blue, blue, 0, 0.487307807245
2015-12-10_14-44, 070, 22, trial, incompatible, red, red, 0, 0.57448391154
2015-12-10_14-44, 070, 22, trial, incompatible, black, black, 0, 0.59189494987
2015-12-10_14-44, 070, 22, trial, compatible, green, green, 0, 0.869863173568
2015-12-10_14-44, 070, 22, trial, compatible, blue, blue, 0, 0.478630411752
2015-12-10_14-44, 070, 22, trial, compatible, black, black, 0, 0.477148849204
2015-12-10_14-44, 070, 22, trial, incompatible, red, red, 0, 0.872154774308
2015-12-10_14-44, 070, 22, trial, incompatible, blue, blue, 0, 0.940750890488
2015-12-10_14-44, 070, 22, trial, compatible, blue, blue, 0, 0.608690328558
2015-12-10_14-44, 070, 22, trial, incompatible, black, black, 0, 0.600123514563
2015-12-10_14-44, 070, 22, trial, incompatible, blue, blue, 0, 0.675711519263
