time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-05_12-22, 006, 06, practice, control, green, X, 1, -1
2015-11-05_12-22, 006, 06, practice, control, green, X, 1, -1
2015-11-05_12-22, 006, 06, practice, control, black, black, 0, 0.951400543183
2015-11-05_12-22, 006, 06, practice, control, black, black, 0, 0.674446314233
2015-11-05_12-22, 006, 06, practice, control, green, green, 0, 0.67516221629
2015-11-05_12-22, 006, 06, practice, control, red, red, 0, 0.986899107169
2015-11-05_12-22, 006, 06, practice, control, blue, blue, 0, 0.521706640096
2015-11-05_12-22, 006, 06, practice, control, blue, blue, 0, 0.56628120449
2015-11-05_12-22, 006, 06, practice, control, blue, blue, 0, 0.522873663758
2015-11-05_12-22, 006, 06, practice, control, red, red, 0, 0.567667092917
2015-11-05_12-22, 006, 06, practice, control, red, red, 0, 0.524406482376
2015-11-05_12-22, 006, 06, practice, control, black, black, 0, 0.453100954051
2015-11-05_12-22, 006, 06, practice, control, red, red, 0, 0.642347806723
2015-11-05_12-22, 006, 06, practice, control, red, red, 0, 0.411820457428
2015-11-05_12-22, 006, 06, practice, control, blue, blue, 0, 0.67731183561
2015-11-05_12-22, 006, 06, practice, control, green, green, 0, 0.489853398869
2015-11-05_12-22, 006, 06, practice, control, blue, blue, 0, 0.524813984081
2015-11-05_12-22, 006, 06, practice, control, green, green, 0, 0.630881894909
2015-11-05_12-22, 006, 06, practice, control, black, black, 0, 0.60236366294
2015-11-05_12-22, 006, 06, practice, control, green, green, 0, 0.551764195408
2015-11-05_12-22, 006, 06, practice, control, black, black, 0, 0.603061198721
2015-11-05_12-22, 006, 06, practice, control, black, black, 0, 0.523616349963
2015-11-05_12-22, 006, 06, practice, control, red, red, 0, 0.566135804822
2015-11-05_12-22, 006, 06, practice, incompatible, red, red, 0, 0.597530271827
2015-11-05_12-22, 006, 06, practice, compatible, green, green, 0, 0.600749343981
2015-11-05_12-22, 006, 06, practice, incompatible, red, red, 0, 1.18320052221
