time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-13_16-00, 026, 02, practice, control, blue, X, 1, -1
2015-11-13_16-00, 026, 02, practice, control, blue, blue, 0, 1.74785042838
2015-11-13_16-00, 026, 02, practice, control, green, green, 0, 1.26973565396
2015-11-13_16-00, 026, 02, practice, control, green, green, 0, 0.58579882336
2015-11-13_16-00, 026, 02, practice, control, red, red, 0, 0.825073157368
2015-11-13_16-00, 026, 02, practice, control, red, red, 0, 0.807880028039
2015-11-13_16-00, 026, 02, practice, control, black, black, 0, 1.00013583089
2015-11-13_16-00, 026, 02, practice, control, black, black, 0, 0.65820089503
2015-11-13_16-00, 026, 02, practice, control, green, green, 0, 1.00630982298
2015-11-13_16-00, 026, 02, practice, control, black, black, 0, 1.04642623197
2015-11-13_16-00, 026, 02, practice, control, red, red, 0, 0.7373608403
2015-11-13_16-00, 026, 02, practice, control, blue, blue, 0, 0.622869176872
2015-11-13_16-00, 026, 02, practice, control, blue, blue, 0, 0.534482679458
2015-11-13_16-00, 026, 02, practice, control, green, green, 0, 0.744316146964
2015-11-13_16-00, 026, 02, practice, control, black, blue, 1, 0.578968634161
2015-11-13_16-00, 026, 02, practice, control, red, red, 0, 0.760949117367
2015-11-13_16-00, 026, 02, practice, control, blue, blue, 0, 1.14961026101
2015-11-13_16-00, 026, 02, practice, control, red, red, 0, 0.959993403593
2015-11-13_16-00, 026, 02, practice, control, blue, blue, 0, 0.907218703798
2015-11-13_16-00, 026, 02, practice, control, black, black, 0, 0.699418490754
2015-11-13_16-00, 026, 02, practice, control, black, black, 0, 0.536673956895
2015-11-13_16-00, 026, 02, practice, control, green, green, 0, 1.30374426449
2015-11-13_16-00, 026, 02, practice, control, red, red, 0, 0.550514550358
2015-11-13_16-00, 026, 02, practice, compatible, black, black, 0, 1.11848623937
2015-11-13_16-00, 026, 02, practice, compatible, red, red, 0, 0.672507139731
2015-11-13_16-00, 026, 02, practice, incompatible, blue, blue, 0, 1.53887747824
2015-11-13_16-00, 026, 02, practice, compatible, green, green, 0, 1.1961574016
2015-11-13_16-00, 026, 02, practice, incompatible, green, green, 0, 1.03902861402
2015-11-13_16-00, 026, 02, practice, compatible, blue, blue, 0, 0.669161491064
2015-11-13_16-00, 026, 02, practice, compatible, black, black, 0, 0.87695864313
2015-11-13_16-00, 026, 02, practice, compatible, blue, blue, 0, 0.583432687569
2015-11-13_16-00, 026, 02, practice, incompatible, blue, blue, 0, 0.933147863591
2015-11-13_16-00, 026, 02, practice, compatible, black, black, 0, 0.565544333671
2015-11-13_16-00, 026, 02, practice, incompatible, blue, blue, 0, 1.04577653944
2015-11-13_16-00, 026, 02, practice, incompatible, green, green, 0, 0.925270054761
2015-11-13_16-00, 026, 02, practice, incompatible, black, black, 0, 1.19854381637
2015-11-13_16-00, 026, 02, practice, incompatible, red, red, 0, 0.88325239598
2015-11-13_16-00, 026, 02, practice, incompatible, green, green, 0, 1.50934248668
2015-11-13_16-00, 026, 02, practice, compatible, blue, blue, 0, 0.47766251496
2015-11-13_16-00, 026, 02, practice, compatible, red, red, 0, 0.630733211302
2015-11-13_16-00, 026, 02, practice, compatible, green, green, 0, 1.04641169232
2015-11-13_16-00, 026, 02, practice, incompatible, red, red, 0, 1.15614315275
2015-11-13_16-00, 026, 02, practice, incompatible, black, blue, 1, 0.733235790176
2015-11-13_16-00, 026, 02, practice, compatible, red, red, 0, 1.21660741124
2015-11-13_16-00, 026, 02, practice, incompatible, black, black, 0, 0.97247147934
2015-11-13_16-00, 026, 02, practice, incompatible, red, red, 0, 1.04569006682
2015-11-13_16-00, 026, 02, practice, compatible, green, green, 0, 1.02025678542
2015-11-13_16-00, 026, 02, trial, incompatible, red, red, 0, 1.05422330751
2015-11-13_16-00, 026, 02, trial, incompatible, blue, blue, 0, 1.23740790283
2015-11-13_16-00, 026, 02, trial, compatible, black, black, 0, 0.815879510733
2015-11-13_16-00, 026, 02, trial, compatible, green, green, 0, 0.892314420572
2015-11-13_16-00, 026, 02, trial, incompatible, red, red, 0, 0.853621748859
2015-11-13_16-00, 026, 02, trial, incompatible, green, green, 0, 0.818580440964
2015-11-13_16-00, 026, 02, trial, incompatible, green, green, 0, 0.859390544028
2015-11-13_16-00, 026, 02, trial, incompatible, black, black, 0, 1.285508107
2015-11-13_16-00, 026, 02, trial, incompatible, blue, blue, 0, 1.27484098221
2015-11-13_16-00, 026, 02, trial, compatible, black, black, 0, 0.859822141889
2015-11-13_16-00, 026, 02, trial, compatible, blue, blue, 0, 0.967555549094
2015-11-13_16-00, 026, 02, trial, compatible, blue, blue, 0, 0.518102239718
2015-11-13_16-00, 026, 02, trial, compatible, green, green, 0, 0.74211530397
2015-11-13_16-00, 026, 02, trial, incompatible, red, red, 0, 0.666172828925
2015-11-13_16-00, 026, 02, trial, incompatible, green, green, 0, 1.09096422329
2015-11-13_16-00, 026, 02, trial, compatible, red, red, 0, 0.55642032428
2015-11-13_16-00, 026, 02, trial, compatible, black, black, 0, 0.785386050512
2015-11-13_16-00, 026, 02, trial, compatible, blue, blue, 0, 0.930854426021
2015-11-13_16-00, 026, 02, trial, incompatible, green, green, 0, 0.857749477338
2015-11-13_16-00, 026, 02, trial, incompatible, black, black, 0, 1.07945953847
2015-11-13_16-00, 026, 02, trial, compatible, blue, blue, 0, 0.81508174341
2015-11-13_16-00, 026, 02, trial, compatible, black, black, 0, 0.775752388328
2015-11-13_16-00, 026, 02, trial, incompatible, black, black, 0, 0.709576727999
2015-11-13_16-00, 026, 02, trial, incompatible, blue, blue, 0, 0.741133112739
2015-11-13_16-00, 026, 02, trial, compatible, green, green, 0, 0.706599927149
2015-11-13_16-00, 026, 02, trial, incompatible, blue, blue, 0, 1.00505520473
2015-11-13_16-00, 026, 02, trial, compatible, blue, blue, 0, 0.666669855185
2015-11-13_16-00, 026, 02, trial, compatible, red, red, 0, 0.689371596575
2015-11-13_16-00, 026, 02, trial, incompatible, blue, blue, 0, 1.0819745143
2015-11-13_16-00, 026, 02, trial, compatible, green, green, 0, 0.740249255417
2015-11-13_16-00, 026, 02, trial, incompatible, black, black, 0, 0.782478504284
2015-11-13_16-00, 026, 02, trial, compatible, black, black, 0, 0.583050447974
2015-11-13_16-00, 026, 02, trial, incompatible, black, black, 0, 0.704805811572
2015-11-13_16-00, 026, 02, trial, incompatible, red, red, 0, 0.736336560624
2015-11-13_16-00, 026, 02, trial, compatible, red, red, 0, 0.586737395659
2015-11-13_16-00, 026, 02, trial, incompatible, red, red, 0, 0.705212921612
2015-11-13_16-00, 026, 02, trial, compatible, green, green, 0, 0.663487203583
2015-11-13_16-00, 026, 02, trial, incompatible, green, green, 0, 0.818292326435
2015-11-13_16-00, 026, 02, trial, compatible, red, red, 0, 0.704828386283
2015-11-13_16-00, 026, 02, trial, compatible, red, red, 0, 0.583987872406
