time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-26_12-43, 043, 19, practice, control, red, red, 0, 0.803595540871
2015-11-26_12-43, 043, 19, practice, control, red, red, 0, 0.435058532284
2015-11-26_12-43, 043, 19, practice, control, black, red, 1, 0.344678335498
2015-11-26_12-43, 043, 19, practice, control, green, green, 0, 0.734652374293
2015-11-26_12-43, 043, 19, practice, control, blue, blue, 0, 0.391423427835
2015-11-26_12-43, 043, 19, practice, control, green, green, 0, 0.661851950343
2015-11-26_12-43, 043, 19, practice, control, red, red, 0, 0.474024828631
2015-11-26_12-43, 043, 19, practice, control, blue, blue, 0, 0.548871538905
2015-11-26_12-43, 043, 19, practice, control, black, black, 0, 0.357171854763
2015-11-26_12-43, 043, 19, practice, control, green, green, 0, 0.590741587479
2015-11-26_12-43, 043, 19, practice, control, black, black, 0, 0.618625108331
2015-11-26_12-43, 043, 19, practice, control, blue, blue, 0, 0.553651691304
2015-11-26_12-43, 043, 19, practice, control, blue, blue, 0, 0.514331082853
2015-11-26_12-43, 043, 19, practice, control, green, green, 0, 0.504087024563
2015-11-26_12-43, 043, 19, practice, control, red, red, 0, 0.397625420172
2015-11-26_12-43, 043, 19, practice, control, blue, blue, 0, 0.471860693357
2015-11-26_12-43, 043, 19, practice, control, black, black, 0, 0.320549910753
2015-11-26_12-43, 043, 19, practice, control, black, black, 0, 0.384469191874
2015-11-26_12-43, 043, 19, practice, control, black, black, 0, 0.348371063491
2015-11-26_12-43, 043, 19, practice, control, blue, blue, 0, 0.508993826322
2015-11-26_12-43, 043, 19, practice, control, red, red, 0, 0.502616591066
2015-11-26_12-43, 043, 19, practice, control, green, green, 0, 0.355606529903
2015-11-26_12-43, 043, 19, practice, control, red, black, 1, 0.694667908928
2015-11-26_12-43, 043, 19, practice, compatible, black, black, 0, 1.45904461998
2015-11-26_12-43, 043, 19, practice, compatible, green, green, 0, 0.587798424727
2015-11-26_12-43, 043, 19, practice, incompatible, blue, blue, 0, 1.1664738867
2015-11-26_12-43, 043, 19, practice, incompatible, red, red, 0, 0.578735151702
2015-11-26_12-43, 043, 19, practice, incompatible, green, green, 0, 0.635968800638
2015-11-26_12-43, 043, 19, practice, incompatible, red, red, 0, 0.649577676041
2015-11-26_12-43, 043, 19, practice, compatible, black, black, 0, 0.633523434914
2015-11-26_12-43, 043, 19, practice, compatible, black, black, 0, 0.478912499068
2015-11-26_12-43, 043, 19, practice, incompatible, black, black, 0, 0.817667011668
2015-11-26_12-43, 043, 19, practice, incompatible, black, black, 0, 0.668567044766
2015-11-26_12-43, 043, 19, practice, compatible, red, red, 0, 0.51758952981
2015-11-26_12-43, 043, 19, practice, compatible, green, green, 0, 0.624367566285
2015-11-26_12-43, 043, 19, practice, compatible, green, green, 0, 0.427802021416
2015-11-26_12-43, 043, 19, practice, compatible, blue, blue, 0, 0.514779138441
2015-11-26_12-43, 043, 19, practice, incompatible, blue, blue, 0, 0.494754382507
2015-11-26_12-43, 043, 19, practice, incompatible, blue, blue, 0, 0.377257830928
2015-11-26_12-43, 043, 19, practice, compatible, blue, blue, 0, 0.431276652324
2015-11-26_12-43, 043, 19, practice, compatible, red, red, 0, 0.517405869107
2015-11-26_12-43, 043, 19, practice, incompatible, green, green, 0, 0.469409205611
2015-11-26_12-43, 043, 19, practice, incompatible, black, black, 0, 0.584421363566
2015-11-26_12-43, 043, 19, practice, incompatible, red, red, 0, 0.626013625329
2015-11-26_12-43, 043, 19, practice, compatible, red, black, 1, 0.395387820617
2015-11-26_12-43, 043, 19, practice, incompatible, green, green, 0, 0.66553128641
2015-11-26_12-43, 043, 19, practice, compatible, blue, blue, 0, 0.402997878336
2015-11-26_12-43, 043, 19, trial, compatible, blue, blue, 0, 0.72392850242
2015-11-26_12-43, 043, 19, trial, incompatible, black, black, 0, 0.550882623594
2015-11-26_12-43, 043, 19, trial, incompatible, blue, blue, 0, 0.662522694532
2015-11-26_12-43, 043, 19, trial, compatible, green, green, 0, 0.39921140686
2015-11-26_12-43, 043, 19, trial, compatible, black, black, 0, 0.475919212249
2015-11-26_12-43, 043, 19, trial, compatible, green, green, 0, 0.51487862132
2015-11-26_12-43, 043, 19, trial, incompatible, green, green, 0, 0.596341325763
2015-11-26_12-43, 043, 19, trial, compatible, red, red, 0, 0.328067755494
2015-11-26_12-43, 043, 19, trial, compatible, blue, blue, 0, 0.445219178004
2015-11-26_12-43, 043, 19, trial, compatible, blue, blue, 0, 0.299293862862
2015-11-26_12-43, 043, 19, trial, incompatible, black, black, 0, 0.468851718854
2015-11-26_12-43, 043, 19, trial, incompatible, green, green, 0, 0.508390807016
2015-11-26_12-43, 043, 19, trial, incompatible, blue, green, 1, 0.590056303485
2015-11-26_12-43, 043, 19, trial, compatible, green, green, 0, 0.558648792909
2015-11-26_12-43, 043, 19, trial, compatible, blue, blue, 0, 0.493649357283
2015-11-26_12-43, 043, 19, trial, compatible, black, black, 0, 0.441187825591
2015-11-26_12-43, 043, 19, trial, incompatible, blue, blue, 0, 0.589140678358
2015-11-26_12-43, 043, 19, trial, incompatible, red, red, 0, 0.519260459572
2015-11-26_12-43, 043, 19, trial, compatible, green, green, 0, 0.546982512058
2015-11-26_12-43, 043, 19, trial, incompatible, red, blue, 1, 0.469567612966
2015-11-26_12-43, 043, 19, trial, incompatible, red, red, 0, 0.734376117986
2015-11-26_12-43, 043, 19, trial, incompatible, red, red, 0, 0.393709620951
2015-11-26_12-43, 043, 19, trial, incompatible, blue, blue, 0, 0.852981138428
2015-11-26_12-43, 043, 19, trial, compatible, black, black, 0, 0.517350770897
2015-11-26_12-43, 043, 19, trial, compatible, green, green, 0, 0.506317354214
2015-11-26_12-43, 043, 19, trial, compatible, black, black, 0, 0.666976083933
2015-11-26_12-43, 043, 19, trial, incompatible, black, black, 0, 0.433096806408
2015-11-26_12-43, 043, 19, trial, incompatible, black, black, 0, 0.43221829605
2015-11-26_12-43, 043, 19, trial, compatible, red, red, 0, 0.553268682215
2015-11-26_12-43, 043, 19, trial, incompatible, black, black, 0, 0.523380198698
2015-11-26_12-43, 043, 19, trial, incompatible, green, green, 0, 0.548814144935
2015-11-26_12-43, 043, 19, trial, incompatible, green, green, 0, 0.511808043956
2015-11-26_12-43, 043, 19, trial, compatible, red, red, 0, 0.631866279704
2015-11-26_12-43, 043, 19, trial, compatible, blue, blue, 0, 0.5999609721
2015-11-26_12-43, 043, 19, trial, compatible, red, red, 0, 0.473361354345
2015-11-26_12-43, 043, 19, trial, incompatible, blue, blue, 0, 0.512512076648
2015-11-26_12-43, 043, 19, trial, compatible, red, green, 1, 0.634801024674
