time, participant, keyorder, session, condition, correct, response, error, RT
2015-12-03_16-46, 062, 14, practice, control, green, green, 0, 1.19371255973
2015-12-03_16-46, 062, 14, practice, control, red, red, 0, 0.689238475974
2015-12-03_16-46, 062, 14, practice, control, blue, blue, 0, 0.488718559354
2015-12-03_16-46, 062, 14, practice, control, green, green, 0, 0.66885964241
2015-12-03_16-46, 062, 14, practice, control, red, red, 0, 0.655325280772
2015-12-03_16-46, 062, 14, practice, control, blue, red, 1, 0.586830437085
2015-12-03_16-46, 062, 14, practice, control, black, black, 0, 0.677968896834
2015-12-03_16-46, 062, 14, practice, control, red, X, 1, -1
2015-12-03_16-46, 062, 14, practice, control, blue, black, 1, 0.0112695791358
2015-12-03_16-46, 062, 14, practice, control, black, black, 0, 0.675523130703
2015-12-03_16-46, 062, 14, practice, control, green, blue, 1, 0.95962917104
2015-12-03_16-46, 062, 14, practice, control, black, black, 0, 0.676820626471
2015-12-03_16-46, 062, 14, practice, control, blue, blue, 0, 0.91660059935
2015-12-03_16-46, 062, 14, practice, control, green, green, 0, 0.963558390755
2015-12-03_16-46, 062, 14, practice, control, red, red, 0, 0.958191250342
2015-12-03_16-46, 062, 14, practice, control, red, red, 0, 0.575816454282
2015-12-03_16-46, 062, 14, practice, control, black, black, 0, 0.581770165329
2015-12-03_16-46, 062, 14, practice, control, black, black, 0, 0.535510672293
2015-12-03_16-46, 062, 14, practice, control, black, black, 0, 0.570932957235
2015-12-03_16-46, 062, 14, practice, control, blue, blue, 0, 0.848392344968
2015-12-03_16-46, 062, 14, practice, control, red, red, 0, 0.384055686329
2015-12-03_16-46, 062, 14, practice, control, green, green, 0, 0.920568847247
2015-12-03_16-46, 062, 14, practice, control, blue, blue, 0, 0.545108926894
2015-12-03_16-46, 062, 14, practice, compatible, red, red, 0, 1.04793961804
2015-12-03_16-46, 062, 14, practice, incompatible, blue, green, 1, 0.967322314635
2015-12-03_16-46, 062, 14, practice, incompatible, red, blue, 1, 0.876625791658
2015-12-03_16-46, 062, 14, practice, incompatible, black, black, 0, 1.66122465847
2015-12-03_16-46, 062, 14, practice, compatible, black, black, 0, 1.45147955076
2015-12-03_16-46, 062, 14, practice, compatible, blue, blue, 0, 0.855859737301
2015-12-03_16-46, 062, 14, practice, incompatible, black, black, 0, 0.848300513946
2015-12-03_16-46, 062, 14, practice, compatible, blue, blue, 0, 0.650900173561
2015-12-03_16-46, 062, 14, practice, incompatible, blue, blue, 0, 1.11257526317
2015-12-03_16-46, 062, 14, practice, incompatible, green, green, 0, 0.707472289989
2015-12-03_16-46, 062, 14, practice, incompatible, green, green, 0, 1.04624495312
2015-12-03_16-46, 062, 14, practice, incompatible, red, red, 0, 0.583871565137
2015-12-03_16-46, 062, 14, practice, compatible, red, red, 0, 0.539486572776
