time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-05_10-04, 003, 03, practice, control, black, black, 0, 0.936212017206
2015-11-05_10-04, 003, 03, practice, control, black, black, 0, 0.513815646994
2015-11-05_10-04, 003, 03, practice, control, red, red, 0, 0.626316727926
2015-11-05_10-04, 003, 03, practice, control, red, red, 0, 0.519218775229
2015-11-05_10-04, 003, 03, practice, control, red, red, 0, 0.484112025089
2015-11-05_10-04, 003, 03, practice, control, black, black, 0, 0.481975032581
2015-11-05_10-04, 003, 03, practice, control, blue, blue, 0, 0.514609223083
2015-11-05_10-04, 003, 03, practice, control, blue, blue, 0, 0.522037233029
2015-11-05_10-04, 003, 03, practice, control, green, green, 0, 0.409473783291
2015-11-05_10-04, 003, 03, practice, control, blue, blue, 0, 0.601752984328
2015-11-05_10-04, 003, 03, practice, control, green, green, 0, 0.53386434823
2015-11-05_10-04, 003, 03, practice, control, green, green, 0, 0.523554363788
2015-11-05_10-04, 003, 03, practice, control, blue, blue, 0, 0.56695578243
2015-11-05_10-04, 003, 03, practice, control, red, red, 0, 0.524989994206
2015-11-05_10-04, 003, 03, practice, control, green, green, 0, 0.526184567279
2015-11-05_10-04, 003, 03, practice, control, green, green, 0, 0.479724016123
2015-11-05_10-04, 003, 03, practice, control, blue, blue, 0, 0.475603083391
2015-11-05_10-04, 003, 03, practice, control, red, red, 0, 0.489752766995
2015-11-05_10-04, 003, 03, practice, control, green, green, 0, 0.483645215624
2015-11-05_10-04, 003, 03, practice, control, black, black, 0, 0.521460608551
2015-11-05_10-04, 003, 03, practice, control, black, black, 0, 0.409538447881
2015-11-05_10-04, 003, 03, practice, control, black, black, 0, 0.370573632305
2015-11-05_10-04, 003, 03, practice, control, red, red, 0, 0.552226030673
2015-11-05_10-04, 003, 03, practice, compatible, blue, blue, 0, 1.19602974724
2015-11-05_10-04, 003, 03, practice, incompatible, red, red, 0, 1.33910914388
2015-11-05_10-04, 003, 03, practice, incompatible, blue, green, 1, 1.76103640884
