time, participant, keyorder, session, condition, correct, response, error, RT
2015-12-10_12-27, 068, 20, practice, control, black, black, 0, 1.86516824268
2015-12-10_12-27, 068, 20, practice, control, blue, blue, 0, 1.25449548242
2015-12-10_12-27, 068, 20, practice, control, black, black, 0, 0.979332355573
2015-12-10_12-27, 068, 20, practice, control, red, red, 0, 0.444641714021
2015-12-10_12-27, 068, 20, practice, control, green, green, 0, 0.717882482857
2015-12-10_12-27, 068, 20, practice, control, black, black, 0, 0.788831804006
2015-12-10_12-27, 068, 20, practice, control, blue, blue, 0, 0.681162154189
2015-12-10_12-27, 068, 20, practice, control, red, red, 0, 0.377045805613
2015-12-10_12-27, 068, 20, practice, control, blue, blue, 0, 1.06005608663
2015-12-10_12-27, 068, 20, practice, control, green, green, 0, 0.59595202829
2015-12-10_12-27, 068, 20, practice, control, green, green, 0, 0.674426631087
2015-12-10_12-27, 068, 20, practice, control, red, red, 0, 0.730432526727
2015-12-10_12-27, 068, 20, practice, control, black, black, 0, 0.591802734845
2015-12-10_12-27, 068, 20, practice, control, green, green, 0, 0.826743275285
2015-12-10_12-27, 068, 20, practice, control, red, red, 0, 0.910614178845
2015-12-10_12-27, 068, 20, practice, control, black, black, 0, 0.795468989925
2015-12-10_12-27, 068, 20, practice, control, green, blue, 1, 0.747617045163
2015-12-10_12-27, 068, 20, practice, control, blue, blue, 0, 1.23415116453
2015-12-10_12-27, 068, 20, practice, control, red, red, 0, 0.792149631696
2015-12-10_12-27, 068, 20, practice, control, blue, blue, 0, 0.784448337969
2015-12-10_12-27, 068, 20, practice, control, red, red, 0, 0.91756397752
2015-12-10_12-27, 068, 20, practice, control, green, green, 0, 0.784382142121
2015-12-10_12-27, 068, 20, practice, control, black, black, 0, 0.653306712144
2015-12-10_12-27, 068, 20, practice, incompatible, red, red, 0, 0.526576867345
2015-12-10_12-27, 068, 20, practice, compatible, green, green, 0, 0.532864324916
2015-12-10_12-27, 068, 20, practice, compatible, black, black, 0, 0.711824223625
2015-12-10_12-27, 068, 20, practice, compatible, green, green, 0, 0.376667762279
2015-12-10_12-27, 068, 20, practice, compatible, blue, blue, 0, 0.48223100667
2015-12-10_12-27, 068, 20, practice, incompatible, black, black, 0, 0.517991304238
2015-12-10_12-27, 068, 20, practice, incompatible, green, green, 0, 0.601711449623
2015-12-10_12-27, 068, 20, practice, compatible, red, red, 0, 0.373106578758
2015-12-10_12-27, 068, 20, practice, incompatible, black, black, 0, 0.997093122251
2015-12-10_12-27, 068, 20, practice, compatible, black, black, 0, 0.608312285221
2015-12-10_12-27, 068, 20, practice, compatible, green, green, 0, 0.635114715871
2015-12-10_12-27, 068, 20, practice, incompatible, red, green, 1, 0.951871027532
2015-12-10_12-27, 068, 20, practice, compatible, blue, blue, 0, 0.853354388461
2015-12-10_12-27, 068, 20, practice, compatible, blue, blue, 0, 0.862751137669
2015-12-10_12-27, 068, 20, practice, incompatible, green, black, 1, 0.675906663091
2015-12-10_12-27, 068, 20, practice, incompatible, green, green, 0, 0.820196391216
2015-12-10_12-27, 068, 20, practice, compatible, black, black, 0, 0.798023843514
2015-12-10_12-27, 068, 20, practice, incompatible, red, red, 0, 0.865949965888
2015-12-10_12-27, 068, 20, practice, incompatible, black, black, 0, 0.643951287509
2015-12-10_12-27, 068, 20, practice, compatible, red, red, 0, 0.790894589043
2015-12-10_12-27, 068, 20, practice, incompatible, blue, blue, 0, 0.722719753951
2015-12-10_12-27, 068, 20, practice, compatible, red, red, 0, 0.837436774356
2015-12-10_12-27, 068, 20, practice, incompatible, blue, blue, 0, 1.84000999442
2015-12-10_12-27, 068, 20, practice, incompatible, blue, red, 1, 0.949791406556
2015-12-10_12-27, 068, 20, trial, compatible, green, green, 0, 0.420294651873
2015-12-10_12-27, 068, 20, trial, incompatible, blue, blue, 0, 1.14904281953
2015-12-10_12-27, 068, 20, trial, compatible, black, black, 0, 0.452567614466
2015-12-10_12-27, 068, 20, trial, compatible, blue, blue, 0, 0.806025123045
2015-12-10_12-27, 068, 20, trial, incompatible, red, red, 0, 0.451967642857
2015-12-10_12-27, 068, 20, trial, incompatible, red, red, 0, 0.719401160992
2015-12-10_12-27, 068, 20, trial, compatible, red, red, 0, 0.5598006778
2015-12-10_12-27, 068, 20, trial, compatible, black, green, 1, 0.608567120102
2015-12-10_12-27, 068, 20, trial, incompatible, black, green, 1, 0.844690385187
2015-12-10_12-27, 068, 20, trial, compatible, blue, blue, 0, 0.713177220823
2015-12-10_12-27, 068, 20, trial, incompatible, blue, blue, 0, 0.954632121362
2015-12-10_12-27, 068, 20, trial, incompatible, blue, blue, 0, 0.651800660964
2015-12-10_12-27, 068, 20, trial, incompatible, red, red, 0, 0.415012376327
2015-12-10_12-27, 068, 20, trial, incompatible, red, red, 0, 0.461878270811
2015-12-10_12-27, 068, 20, trial, incompatible, black, black, 0, 1.2610687683
2015-12-10_12-27, 068, 20, trial, compatible, green, green, 0, 0.683897611478
2015-12-10_12-27, 068, 20, trial, compatible, red, red, 0, 0.418550984386
2015-12-10_12-27, 068, 20, trial, incompatible, blue, blue, 0, 0.916001679001
2015-12-10_12-27, 068, 20, trial, incompatible, black, black, 0, 0.838067356761
2015-12-10_12-27, 068, 20, trial, compatible, blue, blue, 0, 0.95289342813
2015-12-10_12-27, 068, 20, trial, compatible, green, green, 0, 0.882531834272
2015-12-10_12-27, 068, 20, trial, incompatible, black, black, 0, 1.37372185576
2015-12-10_12-27, 068, 20, trial, compatible, red, red, 0, 1.03571859036
2015-12-10_12-27, 068, 20, trial, incompatible, green, blue, 1, 0.880659984075
2015-12-10_12-27, 068, 20, trial, incompatible, black, black, 0, 1.64126672067
2015-12-10_12-27, 068, 20, trial, incompatible, blue, green, 1, 1.01910075429
2015-12-10_12-27, 068, 20, trial, compatible, green, green, 0, 1.45063454268
2015-12-10_12-27, 068, 20, trial, compatible, blue, blue, 0, 0.801611428848
2015-12-10_12-27, 068, 20, trial, incompatible, green, green, 0, 1.06522204115
2015-12-10_12-27, 068, 20, trial, incompatible, green, green, 0, 0.599429032121
2015-12-10_12-27, 068, 20, trial, compatible, red, red, 0, 0.834102493365
2015-12-10_12-27, 068, 20, trial, compatible, green, green, 0, 0.679790790511
