time, participant, keyorder, session, condition, correct, response, error, RT
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 1.60579604784
2015-11-18_09-24, 027, 03, practice, control, red, red, 0, 1.26098553475
2015-11-18_09-24, 027, 03, practice, control, blue, blue, 0, 0.720922286355
2015-11-18_09-24, 027, 03, practice, control, red, red, 0, 0.704264962187
2015-11-18_09-24, 027, 03, practice, control, black, black, 0, 0.694890960606
2015-11-18_09-24, 027, 03, practice, control, blue, blue, 0, 1.01587829371
2015-11-18_09-24, 027, 03, practice, control, black, black, 0, 1.19362465348
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 1.119388331
2015-11-18_09-24, 027, 03, practice, control, black, black, 0, 0.652488899007
2015-11-18_09-24, 027, 03, practice, control, red, red, 0, 0.805694651435
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 0.930437095012
2015-11-18_09-24, 027, 03, practice, control, blue, blue, 0, 0.752163091327
2015-11-18_09-24, 027, 03, practice, control, red, red, 0, 0.657476454034
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 0.659021888231
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 0.581389742893
2015-11-18_09-24, 027, 03, practice, control, blue, red, 1, 1.00453720196
2015-11-18_09-24, 027, 03, practice, control, blue, blue, 0, 0.800882339999
2015-11-18_09-24, 027, 03, practice, control, red, red, 0, 0.697420131203
2015-11-18_09-24, 027, 03, practice, control, black, black, 0, 0.61405277587
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 0.736087744236
2015-11-18_09-24, 027, 03, practice, control, black, black, 0, 0.62185073302
2015-11-18_09-24, 027, 03, practice, control, red, red, 0, 0.805355643093
2015-11-18_09-24, 027, 03, practice, control, black, black, 0, 0.703655435899
2015-11-18_09-24, 027, 03, practice, control, blue, green, 1, 0.808964589698
2015-11-18_09-24, 027, 03, practice, control, red, blue, 1, 0.203520176927
2015-11-18_09-24, 027, 03, practice, control, black, black, 0, 1.28954182219
2015-11-18_09-24, 027, 03, practice, control, red, red, 0, 0.764498250434
2015-11-18_09-24, 027, 03, practice, control, black, black, 0, 1.22811741321
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 1.08597840831
2015-11-18_09-24, 027, 03, practice, control, red, red, 0, 0.702384728554
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 0.775102400799
2015-11-18_09-24, 027, 03, practice, control, blue, blue, 0, 0.741486241656
2015-11-18_09-24, 027, 03, practice, control, green, green, 0, 0.74115335536
2015-11-18_09-24, 027, 03, practice, compatible, black, black, 0, 1.19536446267
2015-11-18_09-24, 027, 03, practice, compatible, red, red, 0, 0.931818381828
2015-11-18_09-24, 027, 03, practice, compatible, red, red, 0, 0.694832035906
2015-11-18_09-24, 027, 03, practice, incompatible, black, black, 0, 0.969537460231
2015-11-18_09-24, 027, 03, practice, compatible, green, green, 0, 0.858903656201
2015-11-18_09-24, 027, 03, practice, compatible, blue, blue, 0, 1.03898328107
2015-11-18_09-24, 027, 03, practice, incompatible, blue, blue, 0, 0.894119582706
2015-11-18_09-24, 027, 03, practice, compatible, red, red, 0, 0.657507064268
2015-11-18_09-24, 027, 03, practice, incompatible, blue, blue, 0, 1.11601431794
2015-11-18_09-24, 027, 03, practice, incompatible, red, red, 0, 1.0827941787
2015-11-18_09-24, 027, 03, practice, compatible, green, green, 0, 0.814148432852
2015-11-18_09-24, 027, 03, practice, incompatible, black, black, 0, 0.857256060348
2015-11-18_09-24, 027, 03, practice, incompatible, green, green, 0, 0.832783943402
2015-11-18_09-24, 027, 03, practice, incompatible, red, red, 0, 0.81294353751
2015-11-18_09-24, 027, 03, practice, compatible, black, black, 0, 0.658507253669
2015-11-18_09-24, 027, 03, practice, incompatible, green, green, 0, 0.805906244679
2015-11-18_09-24, 027, 03, practice, compatible, black, black, 0, 0.743474376364
2015-11-18_09-24, 027, 03, practice, compatible, blue, blue, 0, 0.78222463703
2015-11-18_09-24, 027, 03, practice, incompatible, black, black, 0, 0.670555059202
2015-11-18_09-24, 027, 03, practice, incompatible, green, green, 0, 0.81000342452
2015-11-18_09-24, 027, 03, practice, compatible, green, green, 0, 0.745733029016
2015-11-18_09-24, 027, 03, practice, incompatible, red, red, 0, 0.707554031846
2015-11-18_09-24, 027, 03, practice, compatible, blue, blue, 0, 0.812229936426
2015-11-18_09-24, 027, 03, practice, incompatible, blue, blue, 0, 0.658118121067
2015-11-18_09-24, 027, 03, trial, incompatible, green, green, 0, 0.935575022814
2015-11-18_09-24, 027, 03, trial, incompatible, blue, blue, 0, 0.861047903103
2015-11-18_09-24, 027, 03, trial, incompatible, black, black, 0, 0.768313050865
2015-11-18_09-24, 027, 03, trial, incompatible, green, green, 0, 0.665098019709
2015-11-18_09-24, 027, 03, trial, incompatible, black, black, 0, 1.0452449871
2015-11-18_09-24, 027, 03, trial, compatible, blue, blue, 0, 0.787311675317
2015-11-18_09-24, 027, 03, trial, compatible, blue, blue, 0, 0.738228930115
2015-11-18_09-24, 027, 03, trial, compatible, black, black, 0, 0.737725009135
2015-11-18_09-24, 027, 03, trial, incompatible, blue, blue, 0, 0.811627297442
2015-11-18_09-24, 027, 03, trial, compatible, green, green, 0, 0.749593744799
2015-11-18_09-24, 027, 03, trial, compatible, red, red, 0, 0.745922047213
2015-11-18_09-24, 027, 03, trial, incompatible, red, red, 0, 0.823251916488
2015-11-18_09-24, 027, 03, trial, incompatible, green, green, 0, 1.69597073662
2015-11-18_09-24, 027, 03, trial, compatible, green, green, 0, 0.780813122607
2015-11-18_09-24, 027, 03, trial, incompatible, blue, blue, 0, 1.24149446816
2015-11-18_09-24, 027, 03, trial, incompatible, black, black, 0, 0.92744379674
2015-11-18_09-24, 027, 03, trial, compatible, black, black, 0, 0.552014631692
2015-11-18_09-24, 027, 03, trial, compatible, green, green, 0, 0.815957115062
2015-11-18_09-24, 027, 03, trial, incompatible, red, red, 0, 0.733906382425
2015-11-18_09-24, 027, 03, trial, compatible, red, red, 0, 0.620850926247
2015-11-18_09-24, 027, 03, trial, incompatible, blue, blue, 0, 0.933672596762
2015-11-18_09-24, 027, 03, trial, incompatible, blue, blue, 0, 0.70852781992
2015-11-18_09-24, 027, 03, trial, incompatible, black, black, 0, 0.698876030465
2015-11-18_09-24, 027, 03, trial, incompatible, red, red, 0, 0.746042957637
2015-11-18_09-24, 027, 03, trial, compatible, red, red, 0, 0.62865730121
2015-11-18_09-24, 027, 03, trial, incompatible, red, red, 0, 0.890951423472
2015-11-18_09-24, 027, 03, trial, compatible, green, green, 0, 1.22548799409
2015-11-18_09-24, 027, 03, trial, incompatible, green, green, 0, 0.636914029244
2015-11-18_09-24, 027, 03, trial, compatible, blue, blue, 0, 0.777142955533
2015-11-18_09-24, 027, 03, trial, incompatible, black, black, 0, 0.705842919757
