time, participant, keyorder, session, condition, correct, response, error, RT
2015-12-02_15-55, 052, 04, practice, control, black, black, 0, 1.71721058689
2015-12-02_15-55, 052, 04, practice, control, green, green, 0, 0.846060219721
2015-12-02_15-55, 052, 04, practice, control, black, black, 0, 0.693818930658
2015-12-02_15-55, 052, 04, practice, control, red, red, 0, 0.464883435827
2015-12-02_15-55, 052, 04, practice, control, green, green, 0, 0.807548586262
2015-12-02_15-55, 052, 04, practice, control, black, black, 0, 0.615992524955
2015-12-02_15-55, 052, 04, practice, control, blue, blue, 0, 0.283428021317
2015-12-02_15-55, 052, 04, practice, control, blue, black, 1, 0.509581801542
2015-12-02_15-55, 052, 04, practice, control, green, green, 0, 1.02007234754
2015-12-02_15-55, 052, 04, practice, control, blue, blue, 0, 0.624590969338
2015-12-02_15-55, 052, 04, practice, control, red, red, 0, 0.468326333769
2015-12-02_15-55, 052, 04, practice, control, red, red, 0, 0.353071517998
2015-12-02_15-55, 052, 04, practice, control, black, black, 0, 0.577147621424
2015-12-02_15-55, 052, 04, practice, control, black, black, 0, 0.504350111881
2015-12-02_15-55, 052, 04, practice, control, black, black, 0, 0.435194467487
2015-12-02_15-55, 052, 04, practice, control, green, green, 0, 0.65557016349
2015-12-02_15-55, 052, 04, practice, control, red, red, 0, 0.544886619302
2015-12-02_15-55, 052, 04, practice, control, blue, blue, 0, 0.350550756535
2015-12-02_15-55, 052, 04, practice, control, green, green, 0, 0.689417546459
2015-12-02_15-55, 052, 04, practice, control, green, green, 0, 0.507443286694
2015-12-02_15-55, 052, 04, practice, control, red, red, 0, 0.384476195869
2015-12-02_15-55, 052, 04, practice, control, red, red, 0, 0.499665964669
2015-12-02_15-55, 052, 04, practice, control, blue, blue, 0, 0.553111617542
2015-12-02_15-55, 052, 04, practice, compatible, red, red, 0, 0.541586824697
2015-12-02_15-55, 052, 04, practice, incompatible, blue, green, 1, 0.668285315914
2015-12-02_15-55, 052, 04, practice, compatible, blue, blue, 0, 0.734335158731
2015-12-02_15-55, 052, 04, practice, compatible, blue, blue, 0, 0.698280387649
2015-12-02_15-55, 052, 04, practice, incompatible, red, red, 0, 0.996908355704
2015-12-02_15-55, 052, 04, practice, incompatible, black, black, 0, 0.46410172428
2015-12-02_15-55, 052, 04, practice, compatible, red, red, 0, 0.55696125037
2015-12-02_15-55, 052, 04, practice, compatible, red, red, 0, 0.596378184623
2015-12-02_15-55, 052, 04, practice, compatible, black, black, 0, 0.622103496619
2015-12-02_15-55, 052, 04, practice, incompatible, red, red, 0, 0.810336422937
2015-12-02_15-55, 052, 04, practice, compatible, green, green, 0, 0.428414277275
2015-12-02_15-55, 052, 04, practice, compatible, green, green, 0, 0.358657904967
2015-12-02_15-55, 052, 04, practice, incompatible, blue, blue, 0, 0.5836067857
2015-12-02_15-55, 052, 04, practice, incompatible, blue, blue, 0, 0.893718222642
2015-12-02_15-55, 052, 04, practice, compatible, green, green, 0, 0.472375699063
2015-12-02_15-55, 052, 04, practice, compatible, blue, blue, 0, 0.62326822004
2015-12-02_15-55, 052, 04, practice, incompatible, green, green, 0, 0.620642618164
2015-12-02_15-55, 052, 04, practice, compatible, black, black, 0, 0.477143642079
2015-12-02_15-55, 052, 04, practice, incompatible, green, green, 0, 1.08967911181
2015-12-02_15-55, 052, 04, practice, incompatible, black, black, 0, 0.64413911481
2015-12-02_15-55, 052, 04, practice, incompatible, green, green, 0, 0.663912628908
2015-12-02_15-55, 052, 04, practice, incompatible, black, black, 0, 0.747002482498
2015-12-02_15-55, 052, 04, practice, incompatible, red, red, 0, 0.48279584128
2015-12-02_15-55, 052, 04, practice, compatible, black, black, 0, 0.925285900572
2015-12-02_15-55, 052, 04, trial, incompatible, black, green, 1, 0.627469489144
2015-12-02_15-55, 052, 04, trial, compatible, blue, blue, 0, 0.738679148542
2015-12-02_15-55, 052, 04, trial, incompatible, black, black, 0, 0.558370473879
2015-12-02_15-55, 052, 04, trial, incompatible, red, red, 0, 0.556944414684
2015-12-02_15-55, 052, 04, trial, incompatible, black, black, 0, 0.666463618081
2015-12-02_15-55, 052, 04, trial, compatible, blue, blue, 0, 0.596174625865
2015-12-02_15-55, 052, 04, trial, incompatible, blue, blue, 0, 0.505379384548
2015-12-02_15-55, 052, 04, trial, compatible, green, green, 0, 0.362795657617
2015-12-02_15-55, 052, 04, trial, incompatible, black, black, 0, 0.698126570694
2015-12-02_15-55, 052, 04, trial, compatible, green, green, 0, 0.596338008552
2015-12-02_15-55, 052, 04, trial, incompatible, red, red, 0, 0.635486337075
2015-12-02_15-55, 052, 04, trial, incompatible, blue, blue, 0, 0.394780401424
2015-12-02_15-55, 052, 04, trial, compatible, blue, blue, 0, 0.624175433978
2015-12-02_15-55, 052, 04, trial, compatible, green, green, 0, 0.546155417876
