time, participant, keyorder, session, condition, correct, response, error, RT
2015-12-03_17-25, 063, 15, practice, control, black, black, 0, 1.55298305412
2015-12-03_17-25, 063, 15, practice, control, blue, blue, 0, 1.01352441328
2015-12-03_17-25, 063, 15, practice, control, black, black, 0, 0.667773357985
2015-12-03_17-25, 063, 15, practice, control, red, red, 0, 0.994599188216
2015-12-03_17-25, 063, 15, practice, control, blue, blue, 0, 0.6704544411
2015-12-03_17-25, 063, 15, practice, control, green, green, 0, 0.482397906864
2015-12-03_17-25, 063, 15, practice, control, green, green, 0, 0.516400254677
2015-12-03_17-25, 063, 15, practice, control, red, red, 0, 0.48670899056
2015-12-03_17-25, 063, 15, practice, control, green, green, 0, 0.760841799642
2015-12-03_17-25, 063, 15, practice, control, blue, blue, 0, 0.522217749709
2015-12-03_17-25, 063, 15, practice, control, red, red, 0, 1.04690996275
2015-12-03_17-25, 063, 15, practice, control, black, black, 0, 0.717370908547
2015-12-03_17-25, 063, 15, practice, control, red, red, 0, 0.749976276988
2015-12-03_17-25, 063, 15, practice, control, green, green, 0, 0.761961372809
2015-12-03_17-25, 063, 15, practice, control, blue, blue, 0, 0.405826525082
2015-12-03_17-25, 063, 15, practice, control, black, black, 0, 0.483181148931
2015-12-03_17-25, 063, 15, practice, control, red, red, 0, 0.479038804729
2015-12-03_17-25, 063, 15, practice, control, blue, blue, 0, 0.403199392691
2015-12-03_17-25, 063, 15, practice, control, green, green, 0, 0.515256193237
2015-12-03_17-25, 063, 15, practice, control, blue, blue, 0, 0.522629841409
2015-12-03_17-25, 063, 15, practice, control, black, black, 0, 0.435428253957
2015-12-03_17-25, 063, 15, practice, control, black, black, 0, 0.44115965741
2015-12-03_17-25, 063, 15, practice, control, red, red, 0, 0.432829818754
2015-12-03_17-25, 063, 15, practice, compatible, green, green, 0, 0.797698944247
2015-12-03_17-25, 063, 15, practice, compatible, blue, blue, 0, 0.564391145042
2015-12-03_17-25, 063, 15, practice, incompatible, blue, blue, 0, 1.32659395691
2015-12-03_17-25, 063, 15, practice, compatible, green, green, 0, 0.639501648366
2015-12-03_17-25, 063, 15, practice, compatible, red, red, 0, 0.750436579965
2015-12-03_17-25, 063, 15, practice, incompatible, green, green, 0, 1.43363754909
2015-12-03_17-25, 063, 15, practice, compatible, green, green, 0, 0.91412422288
2015-12-03_17-25, 063, 15, practice, incompatible, black, black, 0, 1.06534006556
2015-12-03_17-25, 063, 15, practice, compatible, blue, blue, 0, 0.758508909137
2015-12-03_17-25, 063, 15, practice, incompatible, red, red, 0, 0.973709927239
2015-12-03_17-25, 063, 15, practice, compatible, blue, blue, 0, 0.682775485406
2015-12-03_17-25, 063, 15, practice, incompatible, blue, blue, 0, 1.09377209684
2015-12-03_17-25, 063, 15, practice, incompatible, black, black, 0, 0.755639189803
2015-12-03_17-25, 063, 15, practice, compatible, black, black, 0, 0.984887292729
2015-12-03_17-25, 063, 15, practice, compatible, black, black, 0, 0.563223743218
2015-12-03_17-25, 063, 15, practice, incompatible, black, black, 0, 0.982262838741
2015-12-03_17-25, 063, 15, practice, incompatible, red, red, 0, 0.753807160982
2015-12-03_17-25, 063, 15, practice, incompatible, blue, blue, 0, 0.831729606627
2015-12-03_17-25, 063, 15, practice, compatible, red, red, 0, 0.795719603168
2015-12-03_17-25, 063, 15, practice, incompatible, red, red, 0, 0.710707802882
2015-12-03_17-25, 063, 15, practice, incompatible, green, green, 0, 0.823562002774
2015-12-03_17-25, 063, 15, practice, compatible, red, red, 0, 0.591717377796
2015-12-03_17-25, 063, 15, practice, compatible, black, black, 0, 0.52750645113
2015-12-03_17-25, 063, 15, practice, incompatible, green, green, 0, 0.596004355848
2015-12-03_17-25, 063, 15, trial, incompatible, green, green, 0, 0.669720175581
2015-12-03_17-25, 063, 15, trial, compatible, green, green, 0, 0.465349478247
2015-12-03_17-25, 063, 15, trial, compatible, red, red, 0, 0.457281357998
2015-12-03_17-25, 063, 15, trial, incompatible, black, black, 0, 0.484266668096
2015-12-03_17-25, 063, 15, trial, compatible, green, green, 0, 0.522513139491
2015-12-03_17-25, 063, 15, trial, incompatible, black, black, 0, 0.553000272434
2015-12-03_17-25, 063, 15, trial, incompatible, blue, blue, 0, 0.679443932571
2015-12-03_17-25, 063, 15, trial, compatible, black, black, 0, 0.415800521601
2015-12-03_17-25, 063, 15, trial, compatible, red, red, 0, 0.566823519152
2015-12-03_17-25, 063, 15, trial, compatible, green, green, 0, 0.451029196141
2015-12-03_17-25, 063, 15, trial, compatible, black, black, 0, 0.45324844576
2015-12-03_17-25, 063, 15, trial, compatible, black, black, 0, 0.446288419804
2015-12-03_17-25, 063, 15, trial, compatible, red, red, 0, 0.373898410406
2015-12-03_17-25, 063, 15, trial, compatible, blue, blue, 0, 0.522720524539
2015-12-03_17-25, 063, 15, trial, compatible, blue, blue, 0, 0.489143277817
2015-12-03_17-25, 063, 15, trial, compatible, red, red, 0, 0.486908340397
2015-12-03_17-25, 063, 15, trial, incompatible, blue, black, 1, 0.561998181744
2015-12-03_17-25, 063, 15, trial, incompatible, red, red, 0, 0.599383354707
2015-12-03_17-25, 063, 15, trial, incompatible, blue, blue, 0, 1.02155006168
2015-12-03_17-25, 063, 15, trial, incompatible, red, red, 0, 0.668684780845
2015-12-03_17-25, 063, 15, trial, incompatible, red, red, 0, 0.672805315182
2015-12-03_17-25, 063, 15, trial, incompatible, red, red, 0, 0.638781157497
2015-12-03_17-25, 063, 15, trial, compatible, black, black, 0, 0.643969992685
2015-12-03_17-25, 063, 15, trial, incompatible, blue, blue, 0, 0.834005485376
2015-12-03_17-25, 063, 15, trial, compatible, blue, blue, 0, 0.601422003325
2015-12-03_17-25, 063, 15, trial, incompatible, black, black, 0, 0.57148241283
2015-12-03_17-25, 063, 15, trial, incompatible, green, green, 0, 0.720477475381
2015-12-03_17-25, 063, 15, trial, incompatible, green, green, 0, 0.600423723627
2015-12-03_17-25, 063, 15, trial, incompatible, blue, blue, 0, 0.681943266798
2015-12-03_17-25, 063, 15, trial, compatible, green, green, 0, 0.746860527048
2015-12-03_17-25, 063, 15, trial, incompatible, red, red, 0, 0.556314224319
2015-12-03_17-25, 063, 15, trial, compatible, black, black, 0, 0.516455735917
2015-12-03_17-25, 063, 15, trial, compatible, blue, blue, 0, 0.560286298507
2015-12-03_17-25, 063, 15, trial, incompatible, black, black, 0, 0.517659104891
2015-12-03_17-25, 063, 15, trial, compatible, red, red, 0, 0.562906543571
2015-12-03_17-25, 063, 15, trial, compatible, blue, blue, 0, 0.600206007588
2015-12-03_17-25, 063, 15, trial, incompatible, green, green, 0, 0.51356305883
2015-12-03_17-25, 063, 15, trial, compatible, green, green, 0, 0.675212053127
2015-12-03_17-25, 063, 15, trial, incompatible, green, green, 0, 0.447764603425
2015-12-03_17-25, 063, 15, trial, incompatible, black, black, 0, 0.477494895727
