time, participant, keyorder, session, condition, correct, response, error, RT
2015-12-03_14-54, 060, 12, practice, control, blue, X, 1, -1
2015-12-03_14-54, 060, 12, practice, control, red, red, 0, 0.0680816041022
2015-12-03_14-54, 060, 12, practice, control, blue, blue, 0, 1.22169385375
2015-12-03_14-54, 060, 12, practice, control, black, black, 0, 1.08432077187
2015-12-03_14-54, 060, 12, practice, control, green, green, 0, 0.882292530772
2015-12-03_14-54, 060, 12, practice, control, green, green, 0, 0.498622917348
2015-12-03_14-54, 060, 12, practice, control, red, red, 0, 0.712746451496
2015-12-03_14-54, 060, 12, practice, control, green, green, 0, 1.03519232476
2015-12-03_14-54, 060, 12, practice, control, black, black, 0, 0.994784763399
2015-12-03_14-54, 060, 12, practice, control, blue, blue, 0, 1.03728186307
2015-12-03_14-54, 060, 12, practice, control, black, black, 0, 0.626479627288
2015-12-03_14-54, 060, 12, practice, control, red, red, 0, 0.517048428617
2015-12-03_14-54, 060, 12, practice, control, green, green, 0, 0.435630664826
2015-12-03_14-54, 060, 12, practice, control, red, red, 0, 0.62308991481
2015-12-03_14-54, 060, 12, practice, control, blue, blue, 0, 0.901598471934
2015-12-03_14-54, 060, 12, practice, control, blue, blue, 0, 0.541245902041
2015-12-03_14-54, 060, 12, practice, control, black, black, 0, 0.390743280266
2015-12-03_14-54, 060, 12, practice, control, black, black, 0, 0.468275826708
2015-12-03_14-54, 060, 12, practice, control, red, red, 0, 0.608297850849
2015-12-03_14-54, 060, 12, practice, control, black, black, 0, 1.41835265866
2015-12-03_14-54, 060, 12, practice, control, green, green, 0, 0.800898107362
2015-12-03_14-54, 060, 12, practice, control, red, red, 0, 0.648848132922
2015-12-03_14-54, 060, 12, practice, control, green, green, 0, 0.578418715773
2015-12-03_14-54, 060, 12, practice, incompatible, green, green, 0, 1.28795031636
2015-12-03_14-54, 060, 12, practice, compatible, black, black, 0, 0.847201602755
2015-12-03_14-54, 060, 12, practice, compatible, green, green, 0, 0.594217094651
2015-12-03_14-54, 060, 12, practice, compatible, blue, blue, 0, 0.818321512637
2015-12-03_14-54, 060, 12, practice, compatible, red, red, 0, 0.416614374
2015-12-03_14-54, 060, 12, practice, incompatible, red, red, 0, 1.07755779997
2015-12-03_14-54, 060, 12, practice, compatible, green, green, 0, 0.665906127273
2015-12-03_14-54, 060, 12, practice, incompatible, blue, blue, 0, 1.19091018314
2015-12-03_14-54, 060, 12, practice, incompatible, red, red, 0, 0.744462589573
2015-12-03_14-54, 060, 12, practice, compatible, green, green, 0, 0.578492180586
2015-12-03_14-54, 060, 12, practice, incompatible, blue, blue, 0, 0.813952651926
2015-12-03_14-54, 060, 12, practice, incompatible, blue, blue, 0, 0.673207075884
2015-12-03_14-54, 060, 12, practice, compatible, blue, blue, 0, 0.483664027033
2015-12-03_14-54, 060, 12, practice, incompatible, green, green, 0, 0.656330065169
2015-12-03_14-54, 060, 12, practice, compatible, red, red, 0, 0.512744232245
2015-12-03_14-54, 060, 12, practice, compatible, blue, blue, 0, 0.543256618719
2015-12-03_14-54, 060, 12, practice, compatible, red, red, 0, 0.924974822996
2015-12-03_14-54, 060, 12, practice, incompatible, green, green, 0, 0.435896209521
2015-12-03_14-54, 060, 12, practice, incompatible, black, black, 0, 0.820223945244
2015-12-03_14-54, 060, 12, practice, incompatible, black, black, 0, 0.53927574406
2015-12-03_14-54, 060, 12, practice, compatible, black, black, 0, 0.463034188688
2015-12-03_14-54, 060, 12, practice, incompatible, red, red, 0, 0.919534600398
2015-12-03_14-54, 060, 12, practice, compatible, black, black, 0, 0.59158996226
2015-12-03_14-54, 060, 12, practice, incompatible, black, black, 0, 0.659258326777
2015-12-03_14-54, 060, 12, trial, compatible, blue, blue, 0, 0.814424433785
2015-12-03_14-54, 060, 12, trial, compatible, blue, blue, 0, 0.548948611362
2015-12-03_14-54, 060, 12, trial, compatible, black, black, 0, 0.647699862559
2015-12-03_14-54, 060, 12, trial, compatible, red, red, 0, 0.400498412855
2015-12-03_14-54, 060, 12, trial, incompatible, red, red, 0, 0.440468246361
2015-12-03_14-54, 060, 12, trial, incompatible, green, green, 0, 0.663808936384
2015-12-03_14-54, 060, 12, trial, compatible, black, black, 0, 0.742558626451
2015-12-03_14-54, 060, 12, trial, incompatible, black, black, 0, 0.786092268747
2015-12-03_14-54, 060, 12, trial, incompatible, red, red, 0, 0.664327781637
2015-12-03_14-54, 060, 12, trial, incompatible, green, green, 0, 0.694307548201
2015-12-03_14-54, 060, 12, trial, incompatible, black, black, 0, 0.742976074958
2015-12-03_14-54, 060, 12, trial, compatible, black, black, 0, 0.480653882765
2015-12-03_14-54, 060, 12, trial, incompatible, red, red, 0, 0.655898076755
2015-12-03_14-54, 060, 12, trial, incompatible, green, green, 0, 0.471639903026
2015-12-03_14-54, 060, 12, trial, incompatible, blue, blue, 0, 0.814429407965
2015-12-03_14-54, 060, 12, trial, compatible, red, red, 0, 0.523418822911
2015-12-03_14-54, 060, 12, trial, incompatible, red, red, 0, 0.707756583521
2015-12-03_14-54, 060, 12, trial, incompatible, blue, blue, 0, 0.931364348748
2015-12-03_14-54, 060, 12, trial, compatible, green, green, 0, 0.543584914612
2015-12-03_14-54, 060, 12, trial, incompatible, green, green, 0, 0.505521722625
2015-12-03_14-54, 060, 12, trial, compatible, black, black, 0, 0.435712547485
2015-12-03_14-54, 060, 12, trial, compatible, red, red, 0, 0.508016465301
2015-12-03_14-54, 060, 12, trial, compatible, green, green, 0, 0.706360752032
2015-12-03_14-54, 060, 12, trial, compatible, green, green, 0, 0.551369506593
2015-12-03_14-54, 060, 12, trial, incompatible, blue, blue, 0, 0.629571271584
2015-12-03_14-54, 060, 12, trial, incompatible, blue, blue, 0, 0.714599907558
2015-12-03_14-54, 060, 12, trial, compatible, black, black, 0, 0.725080122564
2015-12-03_14-54, 060, 12, trial, incompatible, black, black, 0, 0.698159859436
2015-12-03_14-54, 060, 12, trial, compatible, blue, blue, 0, 0.618077089079
2015-12-03_14-54, 060, 12, trial, incompatible, black, black, 0, 0.769183882432
2015-12-03_14-54, 060, 12, trial, compatible, red, red, 0, 0.549661067012
2015-12-03_14-54, 060, 12, trial, compatible, blue, blue, 0, 0.892809860816
2015-12-03_14-54, 060, 12, trial, incompatible, green, green, 0, 0.533309023624
2015-12-03_14-54, 060, 12, trial, compatible, green, green, 0, 0.511777328145
2015-12-03_14-54, 060, 12, trial, compatible, blue, blue, 0, 0.54099260148
2015-12-03_14-54, 060, 12, trial, incompatible, blue, blue, 0, 0.780349769047
2015-12-03_14-54, 060, 12, trial, compatible, red, red, 0, 0.506343610246
2015-12-03_14-54, 060, 12, trial, compatible, green, green, 0, 0.502033291803
2015-12-03_14-54, 060, 12, trial, incompatible, black, black, 0, 0.851415115998
2015-12-03_14-54, 060, 12, trial, incompatible, red, red, 0, 0.768290443146
